Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,54.41,1
caso_6.feature,exec_3,54.33,2
caso_6.feature,exec_5,52.83,3
caso_6.feature,exec_4,52.79,4
caso_6.feature,exec_1,51.51,5
caso_7.feature,exec_2,71.13,1
caso_7.feature,exec_4,67.27,2
caso_7.feature,exec_3,66.13,3
caso_7.feature,exec_5,65.46,4
caso_7.feature,exec_1,61.52,5
caso_5.feature,exec_2,57.03,1
caso_5.feature,exec_5,57.0,2
caso_5.feature,exec_3,56.71,3
caso_5.feature,exec_4,56.68,4
caso_5.feature,exec_1,53.9,5
caso_4.feature,exec_2,70.84,1
caso_4.feature,exec_1,66.07,2
caso_4.feature,exec_5,64.89,3
caso_4.feature,exec_4,62.77,4
caso_4.feature,exec_3,62.56,5
caso_8.feature,exec_3,69.93,1
caso_8.feature,exec_1,68.04,2
caso_8.feature,exec_2,66.34,3
caso_8.feature,exec_4,63.69,4
caso_8.feature,exec_5,57.57,5
caso_2.feature,exec_1,66.77,1
caso_2.feature,exec_5,56.13,2
caso_2.feature,exec_4,53.77,3
caso_2.feature,exec_3,51.08,4
caso_2.feature,exec_2,49.25,5
caso_10.feature,exec_1,70.82,1
caso_10.feature,exec_3,67.1,2
caso_10.feature,exec_5,66.2,3
caso_10.feature,exec_4,61.74,4
caso_10.feature,exec_2,55.37,5
caso_3.feature,exec_3,62.64,1
caso_3.feature,exec_1,61.5,2
caso_3.feature,exec_5,54.93,3
caso_3.feature,exec_2,51.78,4
caso_3.feature,exec_4,46.31,5
caso_1.feature,exec_2,48.79,1
caso_1.feature,exec_4,48.62,2
caso_1.feature,exec_1,48.6,3
caso_1.feature,exec_3,46.34,4
caso_1.feature,exec_5,41.79,5
caso_9.feature,exec_1,71.86,1
caso_9.feature,exec_4,70.48,2
caso_9.feature,exec_3,66.81,3
caso_9.feature,exec_5,63.09,4
caso_9.feature,exec_2,61.17,5
