Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_4,55.86,1
caso_6.feature,exec_5,55.4,2
caso_6.feature,exec_3,51.5,3
caso_6.feature,exec_1,50.0,4
caso_6.feature,exec_2,50.0,5
caso_7.feature,exec_5,64.31,1
caso_7.feature,exec_1,63.74,2
caso_7.feature,exec_2,63.74,3
caso_7.feature,exec_3,63.74,4
caso_7.feature,exec_4,63.74,5
caso_5.feature,exec_2,52.2,1
caso_5.feature,exec_4,52.2,2
caso_5.feature,exec_5,52.2,3
caso_5.feature,exec_1,52.05,4
caso_5.feature,exec_3,49.86,5
caso_4.feature,exec_4,57.79,1
caso_4.feature,exec_3,56.42,2
caso_4.feature,exec_2,56.31,3
caso_4.feature,exec_5,54.39,4
caso_4.feature,exec_1,53.98,5
caso_8.feature,exec_3,61.05,1
caso_8.feature,exec_2,60.25,2
caso_8.feature,exec_4,58.93,3
caso_8.feature,exec_5,58.85,4
caso_8.feature,exec_1,55.31,5
caso_2.feature,exec_1,71.25,1
caso_2.feature,exec_5,70.32,2
caso_2.feature,exec_2,68.05,3
caso_2.feature,exec_4,67.82,4
caso_2.feature,exec_3,66.15,5
caso_10.feature,exec_4,72.67,1
caso_10.feature,exec_5,72.67,2
caso_10.feature,exec_1,72.13,3
caso_10.feature,exec_3,71.55,4
caso_10.feature,exec_2,70.8,5
caso_3.feature,exec_3,66.1,1
caso_3.feature,exec_4,66.1,2
caso_3.feature,exec_5,66.1,3
caso_3.feature,exec_2,59.24,4
caso_3.feature,exec_1,57.09,5
caso_1.feature,exec_3,54.46,1
caso_1.feature,exec_2,54.06,2
caso_1.feature,exec_1,53.45,3
caso_1.feature,exec_4,50.86,4
caso_1.feature,exec_5,47.75,5
caso_9.feature,exec_1,67.35,1
caso_9.feature,exec_5,65.92,2
caso_9.feature,exec_2,65.67,3
caso_9.feature,exec_3,65.31,4
caso_9.feature,exec_4,63.61,5
