Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_3,54.92,1
caso_6.feature,exec_5,54.59,2
caso_6.feature,exec_1,54.56,3
caso_6.feature,exec_4,52.5,4
caso_6.feature,exec_2,48.03,5
caso_7.feature,exec_5,64.55,1
caso_7.feature,exec_2,63.66,2
caso_7.feature,exec_4,62.05,3
caso_7.feature,exec_1,61.42,4
caso_7.feature,exec_3,61.42,5
caso_5.feature,exec_3,57.46,1
caso_5.feature,exec_5,55.88,2
caso_5.feature,exec_4,55.25,3
caso_5.feature,exec_1,54.45,4
caso_5.feature,exec_2,53.76,5
caso_4.feature,exec_1,59.71,1
caso_4.feature,exec_5,57.09,2
caso_4.feature,exec_4,57.05,3
caso_4.feature,exec_2,56.97,4
caso_4.feature,exec_3,55.58,5
caso_8.feature,exec_5,59.7,1
caso_8.feature,exec_2,59.16,2
caso_8.feature,exec_3,58.74,3
caso_8.feature,exec_1,56.18,4
caso_8.feature,exec_4,56.03,5
caso_2.feature,exec_4,70.9,1
caso_2.feature,exec_5,70.68,2
caso_2.feature,exec_1,70.5,3
caso_2.feature,exec_3,65.36,4
caso_2.feature,exec_2,62.18,5
caso_10.feature,exec_1,67.85,1
caso_10.feature,exec_4,66.03,2
caso_10.feature,exec_5,65.29,3
caso_10.feature,exec_3,62.52,4
caso_10.feature,exec_2,62.26,5
caso_3.feature,exec_1,60.03,1
caso_3.feature,exec_2,55.84,2
caso_3.feature,exec_3,55.47,3
caso_3.feature,exec_4,54.36,4
caso_3.feature,exec_5,53.26,5
caso_1.feature,exec_1,55.96,1
caso_1.feature,exec_5,54.02,2
caso_1.feature,exec_3,53.37,3
caso_1.feature,exec_4,48.23,4
caso_1.feature,exec_2,45.4,5
caso_9.feature,exec_4,64.71,1
caso_9.feature,exec_5,63.54,2
caso_9.feature,exec_1,62.77,3
caso_9.feature,exec_3,62.62,4
caso_9.feature,exec_2,62.05,5
