Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,52.93,1
caso_6.feature,exec_3,52.35,2
caso_6.feature,exec_4,52.35,3
caso_6.feature,exec_1,51.36,4
caso_6.feature,exec_5,51.36,5
caso_7.feature,exec_3,57.25,1
caso_7.feature,exec_4,57.25,2
caso_7.feature,exec_5,57.25,3
caso_7.feature,exec_1,54.7,4
caso_7.feature,exec_2,54.46,5
caso_5.feature,exec_2,55.78,1
caso_5.feature,exec_4,55.78,2
caso_5.feature,exec_1,55.11,3
caso_5.feature,exec_5,54.75,4
caso_5.feature,exec_3,52.36,5
caso_4.feature,exec_1,57.65,1
caso_4.feature,exec_5,57.31,2
caso_4.feature,exec_4,56.45,3
caso_4.feature,exec_3,56.17,4
caso_4.feature,exec_2,50.23,5
caso_8.feature,exec_3,61.52,1
caso_8.feature,exec_4,59.6,2
caso_8.feature,exec_5,58.7,3
caso_8.feature,exec_2,57.83,4
caso_8.feature,exec_1,57.29,5
caso_2.feature,exec_3,70.29,1
caso_2.feature,exec_2,68.51,2
caso_2.feature,exec_5,64.39,3
caso_2.feature,exec_4,64.14,4
caso_2.feature,exec_1,58.27,5
caso_10.feature,exec_2,68.77,1
caso_10.feature,exec_4,67.91,2
caso_10.feature,exec_3,66.72,3
caso_10.feature,exec_1,66.66,4
caso_10.feature,exec_5,65.68,5
caso_3.feature,exec_2,53.0,1
caso_3.feature,exec_1,52.79,2
caso_3.feature,exec_4,48.42,3
caso_3.feature,exec_5,46.11,4
caso_3.feature,exec_3,45.65,5
caso_1.feature,exec_2,57.88,1
caso_1.feature,exec_3,56.12,2
caso_1.feature,exec_1,52.85,3
caso_1.feature,exec_5,52.06,4
caso_1.feature,exec_4,49.32,5
caso_9.feature,exec_2,67.78,1
caso_9.feature,exec_3,65.21,2
caso_9.feature,exec_1,65.2,3
caso_9.feature,exec_5,65.2,4
caso_9.feature,exec_4,61.17,5
