Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_5,55.23,1
caso_6.feature,exec_1,54.36,2
caso_6.feature,exec_3,49.47,3
caso_6.feature,exec_2,49.26,4
caso_6.feature,exec_4,42.9,5
caso_7.feature,exec_4,48.59,1
caso_7.feature,exec_2,48.48,2
caso_7.feature,exec_5,44.63,3
caso_7.feature,exec_3,42.26,4
caso_7.feature,exec_1,38.39,5
caso_5.feature,exec_4,58.6,1
caso_5.feature,exec_3,57.14,2
caso_5.feature,exec_2,56.47,3
caso_5.feature,exec_1,54.94,4
caso_5.feature,exec_5,47.52,5
caso_4.feature,exec_2,63.63,1
caso_4.feature,exec_4,55.52,2
caso_4.feature,exec_3,54.37,3
caso_4.feature,exec_1,52.48,4
caso_4.feature,exec_5,51.72,5
caso_8.feature,exec_4,59.33,1
caso_8.feature,exec_2,58.89,2
caso_8.feature,exec_5,54.65,3
caso_8.feature,exec_3,51.96,4
caso_8.feature,exec_1,39.41,5
caso_2.feature,exec_3,58.91,1
caso_2.feature,exec_4,36.19,2
caso_2.feature,exec_1,33.62,3
caso_2.feature,exec_5,33.17,4
caso_2.feature,exec_2,31.93,5
caso_10.feature,exec_4,55.94,1
caso_10.feature,exec_5,55.94,2
caso_10.feature,exec_1,55.42,3
caso_10.feature,exec_3,55.19,4
caso_10.feature,exec_2,44.23,5
caso_3.feature,exec_1,43.64,1
caso_3.feature,exec_4,42.95,2
caso_3.feature,exec_5,41.08,3
caso_3.feature,exec_2,36.97,4
caso_3.feature,exec_3,36.02,5
caso_1.feature,exec_4,42.78,1
caso_1.feature,exec_3,39.19,2
caso_1.feature,exec_1,28.56,3
caso_1.feature,exec_2,27.8,4
caso_1.feature,exec_5,27.23,5
caso_9.feature,exec_5,52.67,1
caso_9.feature,exec_4,50.16,2
caso_9.feature,exec_3,47.79,3
caso_9.feature,exec_2,46.14,4
caso_9.feature,exec_1,25.72,5
