Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_4,57.54,1
caso_6.feature,exec_3,57.04,2
caso_6.feature,exec_1,55.88,3
caso_6.feature,exec_2,55.88,4
caso_6.feature,exec_5,55.88,5
caso_7.feature,exec_3,71.59,1
caso_7.feature,exec_2,67.98,2
caso_7.feature,exec_4,67.98,3
caso_7.feature,exec_5,67.98,4
caso_7.feature,exec_1,65.65,5
caso_5.feature,exec_1,55.42,1
caso_5.feature,exec_2,55.42,2
caso_5.feature,exec_3,55.42,3
caso_5.feature,exec_4,55.42,4
caso_5.feature,exec_5,55.42,5
caso_4.feature,exec_2,63.96,1
caso_4.feature,exec_1,63.05,2
caso_4.feature,exec_3,63.05,3
caso_4.feature,exec_5,63.05,4
caso_4.feature,exec_4,59.4,5
caso_8.feature,exec_3,59.86,1
caso_8.feature,exec_5,59.29,2
caso_8.feature,exec_2,56.7,3
caso_8.feature,exec_1,55.68,4
caso_8.feature,exec_4,54.7,5
caso_2.feature,exec_4,70.0,1
caso_2.feature,exec_5,70.0,2
caso_2.feature,exec_1,65.44,3
caso_2.feature,exec_2,65.44,4
caso_2.feature,exec_3,65.44,5
caso_10.feature,exec_1,68.06,1
caso_10.feature,exec_2,68.06,2
caso_10.feature,exec_3,68.06,3
caso_10.feature,exec_4,68.06,4
caso_10.feature,exec_5,68.06,5
caso_3.feature,exec_2,63.25,1
caso_3.feature,exec_3,57.45,2
caso_3.feature,exec_5,56.96,3
caso_3.feature,exec_4,52.93,4
caso_3.feature,exec_1,52.22,5
caso_1.feature,exec_4,50.13,1
caso_1.feature,exec_5,50.13,2
caso_1.feature,exec_1,49.56,3
caso_1.feature,exec_2,49.56,4
caso_1.feature,exec_3,49.56,5
caso_9.feature,exec_4,58.28,1
caso_9.feature,exec_1,58.24,2
caso_9.feature,exec_5,57.88,3
caso_9.feature,exec_2,57.07,4
caso_9.feature,exec_3,57.07,5
