Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,66.56,1
caso_6.feature,exec_1,66.49,2
caso_6.feature,exec_4,56.48,3
caso_6.feature,exec_3,53.97,4
caso_6.feature,exec_5,51.22,5
caso_7.feature,exec_2,74.2,1
caso_7.feature,exec_1,63.93,2
caso_7.feature,exec_3,62.41,3
caso_7.feature,exec_5,58.9,4
caso_7.feature,exec_4,51.74,5
caso_5.feature,exec_2,74.0,1
caso_5.feature,exec_3,70.79,2
caso_5.feature,exec_4,68.3,3
caso_5.feature,exec_1,67.88,4
caso_5.feature,exec_5,57.58,5
caso_4.feature,exec_2,72.81,1
caso_4.feature,exec_3,67.4,2
caso_4.feature,exec_4,66.55,3
caso_4.feature,exec_1,65.42,4
caso_4.feature,exec_5,62.18,5
caso_8.feature,exec_1,65.04,1
caso_8.feature,exec_5,64.74,2
caso_8.feature,exec_3,63.76,3
caso_8.feature,exec_2,62.3,4
caso_8.feature,exec_4,58.19,5
caso_2.feature,exec_1,70.68,1
caso_2.feature,exec_2,62.7,2
caso_2.feature,exec_5,53.63,3
caso_2.feature,exec_3,50.9,4
caso_2.feature,exec_4,46.99,5
caso_10.feature,exec_2,68.8,1
caso_10.feature,exec_5,66.19,2
caso_10.feature,exec_3,64.17,3
caso_10.feature,exec_1,63.48,4
caso_10.feature,exec_4,60.21,5
caso_3.feature,exec_3,68.64,1
caso_3.feature,exec_1,60.02,2
caso_3.feature,exec_4,59.33,3
caso_3.feature,exec_2,57.47,4
caso_3.feature,exec_5,53.35,5
caso_1.feature,exec_4,53.58,1
caso_1.feature,exec_3,51.74,2
caso_1.feature,exec_5,51.12,3
caso_1.feature,exec_2,50.79,4
caso_1.feature,exec_1,50.54,5
caso_9.feature,exec_1,71.83,1
caso_9.feature,exec_5,65.93,2
caso_9.feature,exec_2,65.66,3
caso_9.feature,exec_4,62.53,4
caso_9.feature,exec_3,59.4,5
