Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,52.98,1
caso_6.feature,exec_3,51.51,2
caso_6.feature,exec_1,51.32,3
caso_6.feature,exec_4,51.32,4
caso_6.feature,exec_5,51.32,5
caso_7.feature,exec_4,71.1,1
caso_7.feature,exec_1,64.31,2
caso_7.feature,exec_3,63.74,3
caso_7.feature,exec_2,63.42,4
caso_7.feature,exec_5,50.03,5
caso_5.feature,exec_3,57.31,1
caso_5.feature,exec_1,52.17,2
caso_5.feature,exec_4,52.17,3
caso_5.feature,exec_2,51.61,4
caso_5.feature,exec_5,46.75,5
caso_4.feature,exec_1,63.75,1
caso_4.feature,exec_3,63.1,2
caso_4.feature,exec_2,61.91,3
caso_4.feature,exec_5,61.7,4
caso_4.feature,exec_4,60.65,5
caso_8.feature,exec_4,62.15,1
caso_8.feature,exec_1,60.54,2
caso_8.feature,exec_2,59.72,3
caso_8.feature,exec_3,59.12,4
caso_8.feature,exec_5,58.33,5
caso_2.feature,exec_2,70.3,1
caso_2.feature,exec_5,70.3,2
caso_2.feature,exec_4,68.68,3
caso_2.feature,exec_1,68.25,4
caso_2.feature,exec_3,68.11,5
caso_10.feature,exec_5,72.46,1
caso_10.feature,exec_4,72.38,2
caso_10.feature,exec_1,68.36,3
caso_10.feature,exec_3,67.19,4
caso_10.feature,exec_2,64.95,5
caso_3.feature,exec_1,73.01,1
caso_3.feature,exec_3,66.1,2
caso_3.feature,exec_4,64.53,3
caso_3.feature,exec_5,64.46,4
caso_3.feature,exec_2,59.59,5
caso_1.feature,exec_2,49.45,1
caso_1.feature,exec_4,47.3,2
caso_1.feature,exec_5,46.49,3
caso_1.feature,exec_3,46.16,4
caso_1.feature,exec_1,43.16,5
caso_9.feature,exec_5,67.84,1
caso_9.feature,exec_3,67.02,2
caso_9.feature,exec_4,67.01,3
caso_9.feature,exec_2,66.19,4
caso_9.feature,exec_1,64.76,5
