Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,56.83,1
caso_6.feature,exec_4,49.13,2
caso_6.feature,exec_3,47.63,3
caso_6.feature,exec_5,47.48,4
caso_6.feature,exec_1,46.28,5
caso_7.feature,exec_3,68.55,1
caso_7.feature,exec_4,61.3,2
caso_7.feature,exec_1,59.29,3
caso_7.feature,exec_2,51.28,4
caso_7.feature,exec_5,47.99,5
caso_5.feature,exec_2,55.58,1
caso_5.feature,exec_1,55.49,2
caso_5.feature,exec_3,54.4,3
caso_5.feature,exec_5,53.57,4
caso_5.feature,exec_4,50.33,5
caso_4.feature,exec_5,57.82,1
caso_4.feature,exec_2,57.49,2
caso_4.feature,exec_4,57.25,3
caso_4.feature,exec_1,55.75,4
caso_4.feature,exec_3,54.0,5
caso_8.feature,exec_1,63.22,1
caso_8.feature,exec_3,59.8,2
caso_8.feature,exec_5,58.59,3
caso_8.feature,exec_4,57.73,4
caso_8.feature,exec_2,55.28,5
caso_2.feature,exec_1,71.25,1
caso_2.feature,exec_5,68.71,2
caso_2.feature,exec_3,67.52,3
caso_2.feature,exec_2,62.23,4
caso_2.feature,exec_4,60.17,5
caso_10.feature,exec_3,68.24,1
caso_10.feature,exec_4,60.91,2
caso_10.feature,exec_1,59.82,3
caso_10.feature,exec_5,57.88,4
caso_10.feature,exec_2,55.77,5
caso_3.feature,exec_3,56.84,1
caso_3.feature,exec_4,49.11,2
caso_3.feature,exec_5,43.65,3
caso_3.feature,exec_2,43.57,4
caso_3.feature,exec_1,42.21,5
caso_1.feature,exec_1,58.94,1
caso_1.feature,exec_5,56.98,2
caso_1.feature,exec_3,56.44,3
caso_1.feature,exec_4,55.13,4
caso_1.feature,exec_2,47.01,5
caso_9.feature,exec_5,63.45,1
caso_9.feature,exec_2,59.61,2
caso_9.feature,exec_1,59.24,3
caso_9.feature,exec_3,58.32,4
caso_9.feature,exec_4,55.98,5
