Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,51.29,1
caso_6.feature,exec_1,50.73,2
caso_6.feature,exec_3,50.73,3
caso_6.feature,exec_5,50.73,4
caso_6.feature,exec_4,50.42,5
caso_7.feature,exec_4,50.31,1
caso_7.feature,exec_1,47.83,2
caso_7.feature,exec_3,47.83,3
caso_7.feature,exec_5,46.71,4
caso_7.feature,exec_2,45.36,5
caso_5.feature,exec_2,55.22,1
caso_5.feature,exec_3,54.63,2
caso_5.feature,exec_4,54.63,3
caso_5.feature,exec_5,54.63,4
caso_5.feature,exec_1,53.4,5
caso_4.feature,exec_3,53.45,1
caso_4.feature,exec_4,52.13,2
caso_4.feature,exec_1,52.12,3
caso_4.feature,exec_5,51.97,4
caso_4.feature,exec_2,50.85,5
caso_8.feature,exec_2,63.11,1
caso_8.feature,exec_4,63.11,2
caso_8.feature,exec_3,62.5,3
caso_8.feature,exec_5,62.05,4
caso_8.feature,exec_1,61.62,5
caso_2.feature,exec_4,72.79,1
caso_2.feature,exec_2,71.95,2
caso_2.feature,exec_5,70.74,3
caso_2.feature,exec_1,67.59,4
caso_2.feature,exec_3,66.34,5
caso_10.feature,exec_2,66.72,1
caso_10.feature,exec_3,66.72,2
caso_10.feature,exec_4,66.72,3
caso_10.feature,exec_1,66.17,4
caso_10.feature,exec_5,53.59,5
caso_3.feature,exec_2,48.2,1
caso_3.feature,exec_5,48.2,2
caso_3.feature,exec_1,47.59,3
caso_3.feature,exec_3,44.87,4
caso_3.feature,exec_4,42.88,5
caso_1.feature,exec_5,57.78,1
caso_1.feature,exec_3,57.53,2
caso_1.feature,exec_1,56.86,3
caso_1.feature,exec_2,55.9,4
caso_1.feature,exec_4,52.36,5
caso_9.feature,exec_2,68.22,1
caso_9.feature,exec_3,68.22,2
caso_9.feature,exec_5,65.21,3
caso_9.feature,exec_1,65.2,4
caso_9.feature,exec_4,65.2,5
