Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,49.68,1
caso_6.feature,exec_5,48.66,2
caso_6.feature,exec_1,39.77,3
caso_6.feature,exec_4,35.41,4
caso_6.feature,exec_3,33.82,5
caso_7.feature,exec_1,46.43,1
caso_7.feature,exec_4,46.25,2
caso_7.feature,exec_5,42.49,3
caso_7.feature,exec_2,38.72,4
caso_7.feature,exec_3,36.41,5
caso_5.feature,exec_3,59.51,1
caso_5.feature,exec_1,57.6,2
caso_5.feature,exec_2,43.57,3
caso_5.feature,exec_4,43.11,4
caso_5.feature,exec_5,39.57,5
caso_4.feature,exec_3,56.18,1
caso_4.feature,exec_4,54.36,2
caso_4.feature,exec_1,53.74,3
caso_4.feature,exec_5,53.5,4
caso_4.feature,exec_2,40.8,5
caso_8.feature,exec_4,56.44,1
caso_8.feature,exec_1,55.03,2
caso_8.feature,exec_5,54.89,3
caso_8.feature,exec_2,34.42,4
caso_8.feature,exec_3,25.03,5
caso_2.feature,exec_3,58.07,1
caso_2.feature,exec_4,39.58,2
caso_2.feature,exec_1,37.71,3
caso_2.feature,exec_5,37.09,4
caso_2.feature,exec_2,36.16,5
caso_10.feature,exec_1,56.44,1
caso_10.feature,exec_3,54.54,2
caso_10.feature,exec_4,48.12,3
caso_10.feature,exec_5,47.78,4
caso_10.feature,exec_2,43.59,5
caso_3.feature,exec_1,55.12,1
caso_3.feature,exec_5,53.6,2
caso_3.feature,exec_3,51.56,3
caso_3.feature,exec_2,46.07,4
caso_3.feature,exec_4,43.29,5
caso_1.feature,exec_1,42.04,1
caso_1.feature,exec_4,40.54,2
caso_1.feature,exec_5,24.68,3
caso_1.feature,exec_3,18.44,4
caso_1.feature,exec_2,18.35,5
caso_9.feature,exec_2,52.9,1
caso_9.feature,exec_3,51.51,2
caso_9.feature,exec_4,48.81,3
caso_9.feature,exec_5,47.39,4
caso_9.feature,exec_1,46.36,5
