Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_2,56.62,1
caso_6.feature,exec_5,56.02,2
caso_6.feature,exec_4,54.58,3
caso_6.feature,exec_1,52.61,4
caso_6.feature,exec_3,51.25,5
caso_7.feature,exec_1,68.5,1
caso_7.feature,exec_2,67.98,2
caso_7.feature,exec_3,67.98,3
caso_7.feature,exec_4,67.98,4
caso_7.feature,exec_5,67.98,5
caso_5.feature,exec_1,60.12,1
caso_5.feature,exec_4,58.6,2
caso_5.feature,exec_2,58.11,3
caso_5.feature,exec_3,58.11,4
caso_5.feature,exec_5,58.11,5
caso_4.feature,exec_1,65.52,1
caso_4.feature,exec_5,65.52,2
caso_4.feature,exec_4,64.91,3
caso_4.feature,exec_2,61.75,4
caso_4.feature,exec_3,60.72,5
caso_8.feature,exec_5,54.35,1
caso_8.feature,exec_3,52.92,2
caso_8.feature,exec_2,52.6,3
caso_8.feature,exec_1,52.38,4
caso_8.feature,exec_4,50.65,5
caso_2.feature,exec_1,67.57,1
caso_2.feature,exec_2,67.57,2
caso_2.feature,exec_3,67.57,3
caso_2.feature,exec_4,67.57,4
caso_2.feature,exec_5,67.57,5
caso_10.feature,exec_3,67.86,1
caso_10.feature,exec_2,61.58,2
caso_10.feature,exec_1,61.11,3
caso_10.feature,exec_4,61.11,4
caso_10.feature,exec_5,61.11,5
caso_3.feature,exec_1,57.45,1
caso_3.feature,exec_2,57.45,2
caso_3.feature,exec_3,57.45,3
caso_3.feature,exec_4,57.45,4
caso_3.feature,exec_5,57.45,5
caso_1.feature,exec_4,53.36,1
caso_1.feature,exec_2,52.33,2
caso_1.feature,exec_1,50.32,3
caso_1.feature,exec_5,50.32,4
caso_1.feature,exec_3,46.83,5
caso_9.feature,exec_2,61.17,1
caso_9.feature,exec_5,61.17,2
caso_9.feature,exec_1,57.58,3
caso_9.feature,exec_3,57.58,4
caso_9.feature,exec_4,57.58,5
