Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_1,62.72,1
caso_6.feature,exec_2,62.72,2
caso_6.feature,exec_3,62.72,3
caso_6.feature,exec_4,62.72,4
caso_6.feature,exec_5,62.72,5
caso_7.feature,exec_4,65.42,1
caso_7.feature,exec_5,65.42,2
caso_7.feature,exec_1,63.09,3
caso_7.feature,exec_2,63.09,4
caso_7.feature,exec_3,63.09,5
caso_5.feature,exec_1,63.12,1
caso_5.feature,exec_2,63.12,2
caso_5.feature,exec_3,63.12,3
caso_5.feature,exec_4,63.12,4
caso_5.feature,exec_5,63.12,5
caso_4.feature,exec_1,62.5,1
caso_4.feature,exec_2,62.5,2
caso_4.feature,exec_3,62.5,3
caso_4.feature,exec_4,62.5,4
caso_4.feature,exec_5,62.5,5
caso_8.feature,exec_1,67.57,1
caso_8.feature,exec_2,67.57,2
caso_8.feature,exec_3,67.57,3
caso_8.feature,exec_4,67.57,4
caso_8.feature,exec_5,67.57,5
caso_2.feature,exec_1,67.75,1
caso_2.feature,exec_2,67.75,2
caso_2.feature,exec_3,67.75,3
caso_2.feature,exec_4,67.75,4
caso_2.feature,exec_5,67.75,5
caso_10.feature,exec_1,77.46,1
caso_10.feature,exec_2,77.46,2
caso_10.feature,exec_3,77.46,3
caso_10.feature,exec_4,77.46,4
caso_10.feature,exec_5,77.46,5
caso_3.feature,exec_1,71.3,1
caso_3.feature,exec_2,70.3,2
caso_3.feature,exec_3,70.3,3
caso_3.feature,exec_4,70.3,4
caso_3.feature,exec_5,70.3,5
caso_1.feature,exec_1,48.84,1
caso_1.feature,exec_2,48.84,2
caso_1.feature,exec_3,48.84,3
caso_1.feature,exec_4,48.84,4
caso_1.feature,exec_5,48.84,5
caso_9.feature,exec_1,58.89,1
caso_9.feature,exec_3,58.89,2
caso_9.feature,exec_4,58.89,3
caso_9.feature,exec_5,58.89,4
caso_9.feature,exec_2,58.85,5
