Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_5,58.06,1
caso_6.feature,exec_4,54.57,2
caso_6.feature,exec_1,53.26,3
caso_6.feature,exec_3,52.27,4
caso_6.feature,exec_2,47.47,5
caso_7.feature,exec_2,54.41,1
caso_7.feature,exec_4,50.25,2
caso_7.feature,exec_5,47.36,3
caso_7.feature,exec_3,45.64,4
caso_7.feature,exec_1,44.7,5
caso_5.feature,exec_2,54.68,1
caso_5.feature,exec_1,52.84,2
caso_5.feature,exec_3,50.86,3
caso_5.feature,exec_4,48.25,4
caso_5.feature,exec_5,46.27,5
caso_4.feature,exec_1,63.2,1
caso_4.feature,exec_5,61.82,2
caso_4.feature,exec_2,61.6,3
caso_4.feature,exec_4,58.64,4
caso_4.feature,exec_3,55.21,5
caso_8.feature,exec_5,59.09,1
caso_8.feature,exec_2,57.57,2
caso_8.feature,exec_4,57.57,3
caso_8.feature,exec_1,55.34,4
caso_8.feature,exec_3,54.53,5
caso_2.feature,exec_5,72.81,1
caso_2.feature,exec_3,70.94,2
caso_2.feature,exec_4,67.0,3
caso_2.feature,exec_2,61.47,4
caso_2.feature,exec_1,59.88,5
caso_10.feature,exec_3,77.94,1
caso_10.feature,exec_4,65.34,2
caso_10.feature,exec_2,58.35,3
caso_10.feature,exec_1,55.98,4
caso_10.feature,exec_5,55.02,5
caso_3.feature,exec_1,57.01,1
caso_3.feature,exec_3,57.01,2
caso_3.feature,exec_5,57.01,3
caso_3.feature,exec_2,47.24,4
caso_3.feature,exec_4,46.77,5
caso_1.feature,exec_4,45.76,1
caso_1.feature,exec_5,45.11,2
caso_1.feature,exec_1,44.88,3
caso_1.feature,exec_2,44.55,4
caso_1.feature,exec_3,39.28,5
caso_9.feature,exec_4,63.44,1
caso_9.feature,exec_1,59.5,2
caso_9.feature,exec_3,58.02,3
caso_9.feature,exec_5,55.55,4
caso_9.feature,exec_2,53.72,5
