Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_3,51.87,1
caso_6.feature,exec_4,51.24,2
caso_6.feature,exec_2,48.95,3
caso_6.feature,exec_1,48.94,4
caso_6.feature,exec_5,46.16,5
caso_7.feature,exec_5,44.21,1
caso_7.feature,exec_4,40.23,2
caso_7.feature,exec_1,39.13,3
caso_7.feature,exec_3,34.29,4
caso_7.feature,exec_2,33.46,5
caso_5.feature,exec_3,52.47,1
caso_5.feature,exec_2,50.18,2
caso_5.feature,exec_1,48.65,3
caso_5.feature,exec_4,45.72,4
caso_5.feature,exec_5,44.18,5
caso_4.feature,exec_5,58.96,1
caso_4.feature,exec_2,57.02,2
caso_4.feature,exec_4,55.44,3
caso_4.feature,exec_3,54.86,4
caso_4.feature,exec_1,54.05,5
caso_8.feature,exec_4,61.03,1
caso_8.feature,exec_3,60.77,2
caso_8.feature,exec_5,58.13,3
caso_8.feature,exec_1,55.87,4
caso_8.feature,exec_2,52.25,5
caso_2.feature,exec_4,68.74,1
caso_2.feature,exec_1,65.22,2
caso_2.feature,exec_2,63.68,3
caso_2.feature,exec_5,63.68,4
caso_2.feature,exec_3,61.73,5
caso_10.feature,exec_4,62.73,1
caso_10.feature,exec_3,61.13,2
caso_10.feature,exec_2,57.95,3
caso_10.feature,exec_5,48.18,4
caso_10.feature,exec_1,43.2,5
caso_3.feature,exec_2,49.66,1
caso_3.feature,exec_1,44.36,2
caso_3.feature,exec_4,37.04,3
caso_3.feature,exec_5,35.37,4
caso_3.feature,exec_3,33.19,5
caso_1.feature,exec_5,46.56,1
caso_1.feature,exec_1,41.77,2
caso_1.feature,exec_2,39.78,3
caso_1.feature,exec_3,37.56,4
caso_1.feature,exec_4,37.38,5
caso_9.feature,exec_2,62.1,1
caso_9.feature,exec_3,59.56,2
caso_9.feature,exec_1,59.18,3
caso_9.feature,exec_5,59.15,4
caso_9.feature,exec_4,58.82,5
