Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_5,61.33,1
caso_6.feature,exec_2,61.12,2
caso_6.feature,exec_4,60.96,3
caso_6.feature,exec_1,60.74,4
caso_6.feature,exec_3,59.06,5
caso_7.feature,exec_4,47.42,1
caso_7.feature,exec_1,47.35,2
caso_7.feature,exec_3,46.86,3
caso_7.feature,exec_5,45.35,4
caso_7.feature,exec_2,43.47,5
caso_5.feature,exec_1,67.33,1
caso_5.feature,exec_4,67.0,2
caso_5.feature,exec_5,62.99,3
caso_5.feature,exec_2,62.56,4
caso_5.feature,exec_3,59.39,5
caso_4.feature,exec_5,66.52,1
caso_4.feature,exec_2,65.6,2
caso_4.feature,exec_4,65.6,3
caso_4.feature,exec_1,62.22,4
caso_4.feature,exec_3,57.69,5
caso_8.feature,exec_1,78.55,1
caso_8.feature,exec_4,68.06,2
caso_8.feature,exec_3,63.77,3
caso_8.feature,exec_2,63.1,4
caso_8.feature,exec_5,59.0,5
caso_2.feature,exec_4,66.16,1
caso_2.feature,exec_1,65.14,2
caso_2.feature,exec_2,64.45,3
caso_2.feature,exec_3,63.7,4
caso_2.feature,exec_5,63.62,5
caso_10.feature,exec_2,56.35,1
caso_10.feature,exec_5,56.2,2
caso_10.feature,exec_1,55.39,3
caso_10.feature,exec_3,55.39,4
caso_10.feature,exec_4,55.39,5
caso_3.feature,exec_3,47.44,1
caso_3.feature,exec_1,46.18,2
caso_3.feature,exec_2,46.18,3
caso_3.feature,exec_4,46.18,4
caso_3.feature,exec_5,46.18,5
caso_1.feature,exec_1,51.97,1
caso_1.feature,exec_4,49.76,2
caso_1.feature,exec_2,49.73,3
caso_1.feature,exec_5,49.64,4
caso_1.feature,exec_3,48.81,5
caso_9.feature,exec_2,71.08,1
caso_9.feature,exec_1,70.19,2
caso_9.feature,exec_5,69.7,3
caso_9.feature,exec_3,69.25,4
caso_9.feature,exec_4,65.15,5
