Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_4,45.76,1
caso_6.feature,exec_3,43.94,2
caso_6.feature,exec_1,43.89,3
caso_6.feature,exec_2,40.89,4
caso_6.feature,exec_5,29.81,5
caso_7.feature,exec_2,43.97,1
caso_7.feature,exec_5,43.71,2
caso_7.feature,exec_1,42.1,3
caso_7.feature,exec_3,40.16,4
caso_7.feature,exec_4,37.22,5
caso_5.feature,exec_5,41.57,1
caso_5.feature,exec_1,40.54,2
caso_5.feature,exec_2,40.15,3
caso_5.feature,exec_4,40.09,4
caso_5.feature,exec_3,39.96,5
caso_4.feature,exec_1,48.63,1
caso_4.feature,exec_4,48.52,2
caso_4.feature,exec_2,47.9,3
caso_4.feature,exec_3,47.08,4
caso_4.feature,exec_5,45.4,5
caso_8.feature,exec_3,42.01,1
caso_8.feature,exec_5,40.66,2
caso_8.feature,exec_2,36.68,3
caso_8.feature,exec_1,35.59,4
caso_8.feature,exec_4,30.83,5
caso_2.feature,exec_5,43.11,1
caso_2.feature,exec_4,39.0,2
caso_2.feature,exec_1,37.79,3
caso_2.feature,exec_3,36.65,4
caso_2.feature,exec_2,30.89,5
caso_10.feature,exec_1,46.92,1
caso_10.feature,exec_4,45.56,2
caso_10.feature,exec_2,43.38,3
caso_10.feature,exec_5,43.2,4
caso_10.feature,exec_3,19.93,5
caso_3.feature,exec_1,50.41,1
caso_3.feature,exec_3,39.86,2
caso_3.feature,exec_4,35.9,3
caso_3.feature,exec_2,35.53,4
caso_3.feature,exec_5,29.07,5
caso_1.feature,exec_3,37.14,1
caso_1.feature,exec_4,31.25,2
caso_1.feature,exec_2,29.58,3
caso_1.feature,exec_5,29.52,4
caso_1.feature,exec_1,25.86,5
caso_9.feature,exec_3,39.87,1
caso_9.feature,exec_1,39.52,2
caso_9.feature,exec_4,36.61,3
caso_9.feature,exec_2,33.44,4
caso_9.feature,exec_5,30.29,5
