Caso Base,Execução Comparada,Pontuação BERTScore,Ranking
caso_6.feature,exec_5,51.09,1
caso_6.feature,exec_1,49.71,2
caso_6.feature,exec_2,49.71,3
caso_6.feature,exec_3,49.71,4
caso_6.feature,exec_4,49.71,5
caso_7.feature,exec_2,57.47,1
caso_7.feature,exec_1,52.87,2
caso_7.feature,exec_5,52.87,3
caso_7.feature,exec_3,52.82,4
caso_7.feature,exec_4,52.17,5
caso_5.feature,exec_5,72.35,1
caso_5.feature,exec_4,69.75,2
caso_5.feature,exec_1,59.16,3
caso_5.feature,exec_2,59.16,4
caso_5.feature,exec_3,59.16,5
caso_4.feature,exec_1,69.32,1
caso_4.feature,exec_3,69.32,2
caso_4.feature,exec_4,69.32,3
caso_4.feature,exec_5,69.32,4
caso_4.feature,exec_2,64.2,5
caso_8.feature,exec_3,69.1,1
caso_8.feature,exec_4,65.89,2
caso_8.feature,exec_1,62.16,3
caso_8.feature,exec_5,59.59,4
caso_8.feature,exec_2,55.3,5
caso_2.feature,exec_1,76.08,1
caso_2.feature,exec_2,76.08,2
caso_2.feature,exec_3,76.08,3
caso_2.feature,exec_4,76.08,4
caso_2.feature,exec_5,76.08,5
caso_10.feature,exec_4,72.71,1
caso_10.feature,exec_3,72.5,2
caso_10.feature,exec_1,72.01,3
caso_10.feature,exec_2,71.95,4
caso_10.feature,exec_5,65.49,5
caso_3.feature,exec_5,67.02,1
caso_3.feature,exec_2,55.81,2
caso_3.feature,exec_3,55.81,3
caso_3.feature,exec_4,55.76,4
caso_3.feature,exec_1,54.18,5
caso_1.feature,exec_3,50.37,1
caso_1.feature,exec_4,42.02,2
caso_1.feature,exec_1,41.75,3
caso_1.feature,exec_2,41.03,4
caso_1.feature,exec_5,40.78,5
caso_9.feature,exec_1,68.34,1
caso_9.feature,exec_4,68.34,2
caso_9.feature,exec_5,63.29,3
caso_9.feature,exec_3,61.22,4
caso_9.feature,exec_2,60.0,5
