Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,40,1
caso_1.feature,exec_2,44,2
caso_1.feature,exec_1,45,3
caso_1.feature,exec_5,50,4
caso_1.feature,exec_4,54,5
caso_2.feature,exec_2,34,1
caso_2.feature,exec_3,35,2
caso_2.feature,exec_4,35,3
caso_2.feature,exec_5,38,4
caso_2.feature,exec_1,39,5
caso_3.feature,exec_2,32,1
caso_3.feature,exec_5,32,2
caso_3.feature,exec_1,34,3
caso_3.feature,exec_3,34,4
caso_3.feature,exec_4,35,5
caso_4.feature,exec_1,36,1
caso_4.feature,exec_3,36,2
caso_4.feature,exec_5,36,3
caso_4.feature,exec_4,37,4
caso_4.feature,exec_2,40,5
caso_5.feature,exec_2,37,1
caso_5.feature,exec_4,37,2
caso_5.feature,exec_1,39,3
caso_5.feature,exec_5,42,4
caso_5.feature,exec_3,44,5
caso_6.feature,exec_2,34,1
caso_6.feature,exec_1,36,2
caso_6.feature,exec_5,36,3
caso_6.feature,exec_3,39,4
caso_6.feature,exec_4,39,5
caso_7.feature,exec_2,31,1
caso_7.feature,exec_3,33,2
caso_7.feature,exec_4,33,3
caso_7.feature,exec_5,33,4
caso_7.feature,exec_1,36,5
caso_8.feature,exec_4,43,1
caso_8.feature,exec_1,45,2
caso_8.feature,exec_3,45,3
caso_8.feature,exec_5,46,4
caso_8.feature,exec_2,53,5
caso_9.feature,exec_2,37,1
caso_9.feature,exec_3,39,2
caso_9.feature,exec_1,42,3
caso_9.feature,exec_5,42,4
caso_9.feature,exec_4,52,5
caso_10.feature,exec_2,31,1
caso_10.feature,exec_1,33,2
caso_10.feature,exec_3,33,3
caso_10.feature,exec_4,35,4
caso_10.feature,exec_5,38,5
