Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_4,50,1
caso_1.feature,exec_5,50,2
caso_1.feature,exec_1,52,3
caso_1.feature,exec_2,52,4
caso_1.feature,exec_3,52,5
caso_2.feature,exec_4,39,1
caso_2.feature,exec_5,39,2
caso_2.feature,exec_1,41,3
caso_2.feature,exec_2,41,4
caso_2.feature,exec_3,41,5
caso_3.feature,exec_2,24,1
caso_3.feature,exec_3,24,2
caso_3.feature,exec_5,25,3
caso_3.feature,exec_4,28,4
caso_3.feature,exec_1,29,5
caso_4.feature,exec_2,30,1
caso_4.feature,exec_1,31,2
caso_4.feature,exec_3,31,3
caso_4.feature,exec_5,31,4
caso_4.feature,exec_4,48,5
caso_5.feature,exec_1,43,1
caso_5.feature,exec_2,43,2
caso_5.feature,exec_3,43,3
caso_5.feature,exec_4,43,4
caso_5.feature,exec_5,43,5
caso_6.feature,exec_1,35,1
caso_6.feature,exec_2,35,2
caso_6.feature,exec_5,35,3
caso_6.feature,exec_3,42,4
caso_6.feature,exec_4,42,5
caso_7.feature,exec_2,24,1
caso_7.feature,exec_4,24,2
caso_7.feature,exec_5,24,3
caso_7.feature,exec_3,25,4
caso_7.feature,exec_1,26,5
caso_8.feature,exec_3,44,1
caso_8.feature,exec_1,45,2
caso_8.feature,exec_5,45,3
caso_8.feature,exec_2,46,4
caso_8.feature,exec_4,52,5
caso_9.feature,exec_1,47,1
caso_9.feature,exec_4,48,2
caso_9.feature,exec_5,48,3
caso_9.feature,exec_2,49,4
caso_9.feature,exec_3,49,5
caso_10.feature,exec_1,36,1
caso_10.feature,exec_2,36,2
caso_10.feature,exec_3,36,3
caso_10.feature,exec_4,36,4
caso_10.feature,exec_5,36,5
