Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,38,1
caso_1.feature,exec_4,40,2
caso_1.feature,exec_1,42,3
caso_1.feature,exec_5,42,4
caso_1.feature,exec_2,46,5
caso_2.feature,exec_1,28,1
caso_2.feature,exec_2,28,2
caso_2.feature,exec_3,31,3
caso_2.feature,exec_5,34,4
caso_2.feature,exec_4,38,5
caso_3.feature,exec_3,19,1
caso_3.feature,exec_4,19,2
caso_3.feature,exec_1,21,3
caso_3.feature,exec_2,25,4
caso_3.feature,exec_5,33,5
caso_4.feature,exec_5,27,1
caso_4.feature,exec_4,30,2
caso_4.feature,exec_2,33,3
caso_4.feature,exec_3,33,4
caso_4.feature,exec_1,40,5
caso_5.feature,exec_2,28,1
caso_5.feature,exec_3,28,2
caso_5.feature,exec_4,29,3
caso_5.feature,exec_1,33,4
caso_5.feature,exec_5,36,5
caso_6.feature,exec_2,31,1
caso_6.feature,exec_1,32,2
caso_6.feature,exec_4,34,3
caso_6.feature,exec_5,38,4
caso_6.feature,exec_3,39,5
caso_7.feature,exec_2,22,1
caso_7.feature,exec_5,23,2
caso_7.feature,exec_1,30,3
caso_7.feature,exec_3,33,4
caso_7.feature,exec_4,37,5
caso_8.feature,exec_3,32,1
caso_8.feature,exec_1,33,2
caso_8.feature,exec_4,37,3
caso_8.feature,exec_2,38,4
caso_8.feature,exec_5,38,5
caso_9.feature,exec_5,35,1
caso_9.feature,exec_1,36,2
caso_9.feature,exec_2,38,3
caso_9.feature,exec_3,38,4
caso_9.feature,exec_4,41,5
caso_10.feature,exec_2,29,1
caso_10.feature,exec_3,30,2
caso_10.feature,exec_5,33,3
caso_10.feature,exec_1,38,4
caso_10.feature,exec_4,41,5
