Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_1,36,1
caso_1.feature,exec_2,36,2
caso_1.feature,exec_3,36,3
caso_1.feature,exec_4,36,4
caso_1.feature,exec_5,36,5
caso_2.feature,exec_1,24,1
caso_2.feature,exec_2,24,2
caso_2.feature,exec_3,24,3
caso_2.feature,exec_4,24,4
caso_2.feature,exec_5,24,5
caso_3.feature,exec_1,12,1
caso_3.feature,exec_2,13,2
caso_3.feature,exec_3,13,3
caso_3.feature,exec_4,13,4
caso_3.feature,exec_5,13,5
caso_4.feature,exec_1,35,1
caso_4.feature,exec_2,35,2
caso_4.feature,exec_3,35,3
caso_4.feature,exec_4,35,4
caso_4.feature,exec_5,35,5
caso_5.feature,exec_1,33,1
caso_5.feature,exec_2,33,2
caso_5.feature,exec_3,33,3
caso_5.feature,exec_4,33,4
caso_5.feature,exec_5,33,5
caso_6.feature,exec_1,35,1
caso_6.feature,exec_2,35,2
caso_6.feature,exec_3,35,3
caso_6.feature,exec_4,35,4
caso_6.feature,exec_5,35,5
caso_7.feature,exec_1,24,1
caso_7.feature,exec_2,24,2
caso_7.feature,exec_3,24,3
caso_7.feature,exec_4,25,4
caso_7.feature,exec_5,25,5
caso_8.feature,exec_1,37,1
caso_8.feature,exec_2,37,2
caso_8.feature,exec_3,37,3
caso_8.feature,exec_4,37,4
caso_8.feature,exec_5,37,5
caso_9.feature,exec_1,42,1
caso_9.feature,exec_3,42,2
caso_9.feature,exec_4,42,3
caso_9.feature,exec_5,42,4
caso_9.feature,exec_2,44,5
caso_10.feature,exec_1,19,1
caso_10.feature,exec_2,19,2
caso_10.feature,exec_3,19,3
caso_10.feature,exec_4,19,4
caso_10.feature,exec_5,19,5
