Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_5,46,1
caso_1.feature,exec_3,47,2
caso_1.feature,exec_4,47,3
caso_1.feature,exec_2,48,4
caso_1.feature,exec_1,52,5
caso_2.feature,exec_3,16,1
caso_2.feature,exec_1,25,2
caso_2.feature,exec_4,25,3
caso_2.feature,exec_5,25,4
caso_2.feature,exec_2,28,5
caso_3.feature,exec_1,26,1
caso_3.feature,exec_3,26,2
caso_3.feature,exec_5,26,3
caso_3.feature,exec_2,28,4
caso_3.feature,exec_4,33,5
caso_4.feature,exec_1,36,1
caso_4.feature,exec_2,36,2
caso_4.feature,exec_5,37,3
caso_4.feature,exec_4,41,4
caso_4.feature,exec_3,44,5
caso_5.feature,exec_2,35,1
caso_5.feature,exec_3,39,2
caso_5.feature,exec_1,46,3
caso_5.feature,exec_5,47,4
caso_5.feature,exec_4,51,5
caso_6.feature,exec_5,34,1
caso_6.feature,exec_1,35,2
caso_6.feature,exec_4,41,3
caso_6.feature,exec_3,45,4
caso_6.feature,exec_2,47,5
caso_7.feature,exec_2,25,1
caso_7.feature,exec_5,27,2
caso_7.feature,exec_1,30,3
caso_7.feature,exec_4,30,4
caso_7.feature,exec_3,34,5
caso_8.feature,exec_2,41,1
caso_8.feature,exec_4,41,2
caso_8.feature,exec_1,43,3
caso_8.feature,exec_5,43,4
caso_8.feature,exec_3,46,5
caso_9.feature,exec_4,38,1
caso_9.feature,exec_1,40,2
caso_9.feature,exec_2,44,3
caso_9.feature,exec_5,46,4
caso_9.feature,exec_3,47,5
caso_10.feature,exec_3,20,1
caso_10.feature,exec_4,31,2
caso_10.feature,exec_1,37,3
caso_10.feature,exec_5,37,4
caso_10.feature,exec_2,41,5
