Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,42,1
caso_1.feature,exec_1,43,2
caso_1.feature,exec_4,46,3
caso_1.feature,exec_2,48,4
caso_1.feature,exec_5,48,5
caso_2.feature,exec_4,22,1
caso_2.feature,exec_3,23,2
caso_2.feature,exec_1,24,3
caso_2.feature,exec_2,24,4
caso_2.feature,exec_5,24,5
caso_3.feature,exec_3,33,1
caso_3.feature,exec_1,35,2
caso_3.feature,exec_2,35,3
caso_3.feature,exec_4,35,4
caso_3.feature,exec_5,35,5
caso_4.feature,exec_2,31,1
caso_4.feature,exec_4,31,2
caso_4.feature,exec_5,33,3
caso_4.feature,exec_3,40,4
caso_4.feature,exec_1,43,5
caso_5.feature,exec_1,29,1
caso_5.feature,exec_4,30,2
caso_5.feature,exec_5,35,3
caso_5.feature,exec_2,36,4
caso_5.feature,exec_3,40,5
caso_6.feature,exec_4,30,1
caso_6.feature,exec_1,32,2
caso_6.feature,exec_2,33,3
caso_6.feature,exec_5,34,4
caso_6.feature,exec_3,36,5
caso_7.feature,exec_1,30,1
caso_7.feature,exec_3,31,2
caso_7.feature,exec_4,31,3
caso_7.feature,exec_2,33,4
caso_7.feature,exec_5,34,5
caso_8.feature,exec_1,19,1
caso_8.feature,exec_4,32,2
caso_8.feature,exec_3,36,3
caso_8.feature,exec_2,41,4
caso_8.feature,exec_5,42,5
caso_9.feature,exec_1,27,1
caso_9.feature,exec_5,30,2
caso_9.feature,exec_2,31,3
caso_9.feature,exec_3,31,4
caso_9.feature,exec_4,33,5
caso_10.feature,exec_1,35,1
caso_10.feature,exec_3,35,2
caso_10.feature,exec_4,35,3
caso_10.feature,exec_2,36,4
caso_10.feature,exec_5,36,5
