Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,38,1
caso_1.feature,exec_2,40,2
caso_1.feature,exec_5,41,3
caso_1.feature,exec_4,42,4
caso_1.feature,exec_1,48,5
caso_2.feature,exec_5,29,1
caso_2.feature,exec_1,34,2
caso_2.feature,exec_4,34,3
caso_2.feature,exec_2,35,4
caso_2.feature,exec_3,37,5
caso_3.feature,exec_1,25,1
caso_3.feature,exec_3,33,2
caso_3.feature,exec_5,35,3
caso_3.feature,exec_4,36,4
caso_3.feature,exec_2,39,5
caso_4.feature,exec_3,29,1
caso_4.feature,exec_5,32,2
caso_4.feature,exec_1,33,3
caso_4.feature,exec_2,33,4
caso_4.feature,exec_4,49,5
caso_5.feature,exec_1,32,1
caso_5.feature,exec_5,34,2
caso_5.feature,exec_3,37,3
caso_5.feature,exec_4,37,4
caso_5.feature,exec_2,39,5
caso_6.feature,exec_1,25,1
caso_6.feature,exec_2,30,2
caso_6.feature,exec_5,32,3
caso_6.feature,exec_4,34,4
caso_6.feature,exec_3,35,5
caso_7.feature,exec_2,26,1
caso_7.feature,exec_1,27,2
caso_7.feature,exec_5,27,3
caso_7.feature,exec_3,30,4
caso_7.feature,exec_4,34,5
caso_8.feature,exec_4,44,1
caso_8.feature,exec_3,46,2
caso_8.feature,exec_5,49,3
caso_8.feature,exec_1,51,4
caso_8.feature,exec_2,53,5
caso_9.feature,exec_4,43,1
caso_9.feature,exec_1,45,2
caso_9.feature,exec_2,47,3
caso_9.feature,exec_3,50,4
caso_9.feature,exec_5,51,5
caso_10.feature,exec_5,35,1
caso_10.feature,exec_1,38,2
caso_10.feature,exec_4,39,3
caso_10.feature,exec_2,42,4
caso_10.feature,exec_3,66,5
