Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_4,0.7,1
caso_1.feature,exec_3,0.69,2
caso_1.feature,exec_5,0.69,3
caso_1.feature,exec_2,0.66,4
caso_1.feature,exec_1,0.64,5
caso_2.feature,exec_4,0.82,1
caso_2.feature,exec_5,0.75,2
caso_2.feature,exec_1,0.57,3
caso_2.feature,exec_2,0.55,4
caso_2.feature,exec_3,0.52,5
caso_3.feature,exec_1,0.87,1
caso_3.feature,exec_3,0.82,2
caso_3.feature,exec_2,0.8,3
caso_3.feature,exec_5,0.8,4
caso_3.feature,exec_4,0.79,5
caso_4.feature,exec_3,0.88,1
caso_4.feature,exec_4,0.85,2
caso_4.feature,exec_5,0.83,3
caso_4.feature,exec_1,0.81,4
caso_4.feature,exec_2,0.72,5
caso_5.feature,exec_4,0.69,1
caso_5.feature,exec_5,0.65,2
caso_5.feature,exec_2,0.62,3
caso_5.feature,exec_3,0.62,4
caso_5.feature,exec_1,0.6,5
caso_6.feature,exec_1,0.7,1
caso_6.feature,exec_5,0.69,2
caso_6.feature,exec_3,0.64,3
caso_6.feature,exec_2,0.62,4
caso_6.feature,exec_4,0.61,5
caso_7.feature,exec_1,0.81,1
caso_7.feature,exec_2,0.81,2
caso_7.feature,exec_4,0.81,3
caso_7.feature,exec_3,0.8,4
caso_7.feature,exec_5,0.8,5
caso_8.feature,exec_2,0.8,1
caso_8.feature,exec_1,0.79,2
caso_8.feature,exec_3,0.79,3
caso_8.feature,exec_4,0.79,4
caso_8.feature,exec_5,0.78,5
caso_9.feature,exec_4,0.94,1
caso_9.feature,exec_3,0.87,2
caso_9.feature,exec_5,0.85,3
caso_9.feature,exec_1,0.79,4
caso_9.feature,exec_2,0.74,5
caso_10.feature,exec_1,0.8,1
caso_10.feature,exec_3,0.78,2
caso_10.feature,exec_5,0.77,3
caso_10.feature,exec_4,0.75,4
caso_10.feature,exec_2,0.7,5
