Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_4,0.81,1
caso_1.feature,exec_1,0.79,2
caso_1.feature,exec_3,0.79,3
caso_1.feature,exec_2,0.75,4
caso_1.feature,exec_5,0.72,5
caso_2.feature,exec_5,0.75,1
caso_2.feature,exec_4,0.67,2
caso_2.feature,exec_1,0.65,3
caso_2.feature,exec_3,0.64,4
caso_2.feature,exec_2,0.63,5
caso_3.feature,exec_3,0.89,1
caso_3.feature,exec_4,0.89,2
caso_3.feature,exec_5,0.89,3
caso_3.feature,exec_2,0.7,4
caso_3.feature,exec_1,0.59,5
caso_4.feature,exec_1,0.82,1
caso_4.feature,exec_2,0.81,2
caso_4.feature,exec_3,0.81,3
caso_4.feature,exec_4,0.81,4
caso_4.feature,exec_5,0.76,5
caso_5.feature,exec_2,0.68,1
caso_5.feature,exec_4,0.68,2
caso_5.feature,exec_5,0.68,3
caso_5.feature,exec_1,0.66,4
caso_5.feature,exec_3,0.56,5
caso_6.feature,exec_5,0.85,1
caso_6.feature,exec_4,0.84,2
caso_6.feature,exec_3,0.74,3
caso_6.feature,exec_1,0.72,4
caso_6.feature,exec_2,0.72,5
caso_7.feature,exec_1,0.89,1
caso_7.feature,exec_2,0.89,2
caso_7.feature,exec_3,0.89,3
caso_7.feature,exec_4,0.89,4
caso_7.feature,exec_5,0.89,5
caso_8.feature,exec_2,0.71,1
caso_8.feature,exec_1,0.66,2
caso_8.feature,exec_5,0.64,3
caso_8.feature,exec_3,0.61,4
caso_8.feature,exec_4,0.61,5
caso_9.feature,exec_1,0.77,1
caso_9.feature,exec_2,0.74,2
caso_9.feature,exec_5,0.74,3
caso_9.feature,exec_3,0.72,4
caso_9.feature,exec_4,0.7,5
caso_10.feature,exec_4,0.77,1
caso_10.feature,exec_5,0.77,2
caso_10.feature,exec_2,0.7,3
caso_10.feature,exec_3,0.7,4
caso_10.feature,exec_1,0.69,5
