Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_1,0.74,1
caso_1.feature,exec_4,0.72,2
caso_1.feature,exec_3,0.68,3
caso_1.feature,exec_5,0.66,4
caso_1.feature,exec_2,0.65,5
caso_2.feature,exec_5,0.79,1
caso_2.feature,exec_1,0.69,2
caso_2.feature,exec_4,0.67,3
caso_2.feature,exec_2,0.54,4
caso_2.feature,exec_3,0.53,5
caso_3.feature,exec_2,0.88,1
caso_3.feature,exec_1,0.86,2
caso_3.feature,exec_4,0.86,3
caso_3.feature,exec_5,0.84,4
caso_3.feature,exec_3,0.82,5
caso_4.feature,exec_5,0.83,1
caso_4.feature,exec_1,0.8,2
caso_4.feature,exec_4,0.8,3
caso_4.feature,exec_2,0.76,4
caso_4.feature,exec_3,0.76,5
caso_5.feature,exec_4,0.77,1
caso_5.feature,exec_1,0.76,2
caso_5.feature,exec_3,0.75,3
caso_5.feature,exec_5,0.7,4
caso_5.feature,exec_2,0.65,5
caso_6.feature,exec_1,0.79,1
caso_6.feature,exec_2,0.67,2
caso_6.feature,exec_5,0.66,3
caso_6.feature,exec_3,0.62,4
caso_6.feature,exec_4,0.62,5
caso_7.feature,exec_1,0.86,1
caso_7.feature,exec_3,0.86,2
caso_7.feature,exec_5,0.85,3
caso_7.feature,exec_2,0.81,4
caso_7.feature,exec_4,0.8,5
caso_8.feature,exec_3,0.63,1
caso_8.feature,exec_2,0.61,2
caso_8.feature,exec_5,0.59,3
caso_8.feature,exec_4,0.57,4
caso_8.feature,exec_1,0.56,5
caso_9.feature,exec_3,0.73,1
caso_9.feature,exec_5,0.73,2
caso_9.feature,exec_4,0.69,3
caso_9.feature,exec_1,0.68,4
caso_9.feature,exec_2,0.67,5
caso_10.feature,exec_4,0.67,1
caso_10.feature,exec_1,0.61,2
caso_10.feature,exec_5,0.57,3
caso_10.feature,exec_2,0.51,4
caso_10.feature,exec_3,0.51,5
