Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_1,0.68,1
caso_1.feature,exec_2,0.66,2
caso_1.feature,exec_5,0.65,3
caso_1.feature,exec_4,0.58,4
caso_1.feature,exec_3,0.51,5
caso_2.feature,exec_4,0.85,1
caso_2.feature,exec_3,0.76,2
caso_2.feature,exec_2,0.75,3
caso_2.feature,exec_1,0.58,4
caso_2.feature,exec_5,0.58,5
caso_3.feature,exec_1,0.8,1
caso_3.feature,exec_2,0.8,2
caso_3.feature,exec_3,0.79,3
caso_3.feature,exec_4,0.77,4
caso_3.feature,exec_5,0.71,5
caso_4.feature,exec_2,0.79,1
caso_4.feature,exec_3,0.72,2
caso_4.feature,exec_4,0.71,3
caso_4.feature,exec_5,0.65,4
caso_4.feature,exec_1,0.64,5
caso_5.feature,exec_1,0.7,1
caso_5.feature,exec_3,0.69,2
caso_5.feature,exec_5,0.58,3
caso_5.feature,exec_4,0.55,4
caso_5.feature,exec_2,0.52,5
caso_6.feature,exec_5,0.84,1
caso_6.feature,exec_2,0.69,2
caso_6.feature,exec_3,0.68,3
caso_6.feature,exec_1,0.67,4
caso_6.feature,exec_4,0.59,5
caso_7.feature,exec_4,0.9,1
caso_7.feature,exec_5,0.83,2
caso_7.feature,exec_1,0.8,3
caso_7.feature,exec_2,0.77,4
caso_7.feature,exec_3,0.76,5
caso_8.feature,exec_1,0.84,1
caso_8.feature,exec_4,0.71,2
caso_8.feature,exec_5,0.71,3
caso_8.feature,exec_2,0.67,4
caso_8.feature,exec_3,0.65,5
caso_9.feature,exec_5,0.81,1
caso_9.feature,exec_3,0.72,2
caso_9.feature,exec_2,0.68,3
caso_9.feature,exec_4,0.68,4
caso_9.feature,exec_1,0.63,5
caso_10.feature,exec_2,0.74,1
caso_10.feature,exec_4,0.72,2
caso_10.feature,exec_5,0.72,3
caso_10.feature,exec_1,0.69,4
caso_10.feature,exec_3,0.6,5
