Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_4,0.67,1
caso_1.feature,exec_5,0.67,2
caso_1.feature,exec_1,0.65,3
caso_1.feature,exec_2,0.65,4
caso_1.feature,exec_3,0.65,5
caso_2.feature,exec_1,0.74,1
caso_2.feature,exec_2,0.74,2
caso_2.feature,exec_3,0.74,3
caso_2.feature,exec_4,0.73,4
caso_2.feature,exec_5,0.73,5
caso_3.feature,exec_2,0.88,1
caso_3.feature,exec_5,0.87,2
caso_3.feature,exec_3,0.85,3
caso_3.feature,exec_4,0.84,4
caso_3.feature,exec_1,0.76,5
caso_4.feature,exec_2,0.79,1
caso_4.feature,exec_1,0.78,2
caso_4.feature,exec_3,0.78,3
caso_4.feature,exec_5,0.78,4
caso_4.feature,exec_4,0.64,5
caso_5.feature,exec_1,0.69,1
caso_5.feature,exec_2,0.69,2
caso_5.feature,exec_3,0.69,3
caso_5.feature,exec_4,0.69,4
caso_5.feature,exec_5,0.69,5
caso_6.feature,exec_1,0.66,1
caso_6.feature,exec_2,0.66,2
caso_6.feature,exec_5,0.66,3
caso_6.feature,exec_3,0.61,4
caso_6.feature,exec_4,0.6,5
caso_7.feature,exec_3,0.87,1
caso_7.feature,exec_1,0.85,2
caso_7.feature,exec_2,0.85,3
caso_7.feature,exec_4,0.85,4
caso_7.feature,exec_5,0.85,5
caso_8.feature,exec_5,0.71,1
caso_8.feature,exec_3,0.7,2
caso_8.feature,exec_1,0.68,3
caso_8.feature,exec_2,0.67,4
caso_8.feature,exec_4,0.66,5
caso_9.feature,exec_1,0.64,1
caso_9.feature,exec_4,0.64,2
caso_9.feature,exec_5,0.64,3
caso_9.feature,exec_2,0.61,4
caso_9.feature,exec_3,0.61,5
caso_10.feature,exec_1,0.71,1
caso_10.feature,exec_2,0.71,2
caso_10.feature,exec_3,0.71,3
caso_10.feature,exec_4,0.71,4
caso_10.feature,exec_5,0.71,5
