Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_3,0.8,1
caso_1.feature,exec_4,0.77,2
caso_1.feature,exec_2,0.76,3
caso_1.feature,exec_5,0.71,4
caso_1.feature,exec_1,0.69,5
caso_2.feature,exec_1,0.87,1
caso_2.feature,exec_2,0.81,2
caso_2.feature,exec_5,0.81,3
caso_2.feature,exec_3,0.79,4
caso_2.feature,exec_4,0.75,5
caso_3.feature,exec_4,0.91,1
caso_3.feature,exec_1,0.88,2
caso_3.feature,exec_3,0.88,3
caso_3.feature,exec_2,0.86,4
caso_3.feature,exec_5,0.69,5
caso_4.feature,exec_3,0.88,1
caso_4.feature,exec_5,0.87,2
caso_4.feature,exec_4,0.83,3
caso_4.feature,exec_2,0.77,4
caso_4.feature,exec_1,0.75,5
caso_5.feature,exec_1,0.67,1
caso_5.feature,exec_3,0.65,2
caso_5.feature,exec_2,0.63,3
caso_5.feature,exec_4,0.53,4
caso_5.feature,exec_5,0.52,5
caso_6.feature,exec_3,0.86,1
caso_6.feature,exec_1,0.78,2
caso_6.feature,exec_4,0.76,3
caso_6.feature,exec_5,0.71,4
caso_6.feature,exec_2,0.7,5
caso_7.feature,exec_2,0.88,1
caso_7.feature,exec_5,0.86,2
caso_7.feature,exec_1,0.81,3
caso_7.feature,exec_3,0.79,4
caso_7.feature,exec_4,0.76,5
caso_8.feature,exec_3,0.88,1
caso_8.feature,exec_2,0.78,2
caso_8.feature,exec_5,0.77,3
caso_8.feature,exec_1,0.75,4
caso_8.feature,exec_4,0.75,5
caso_9.feature,exec_3,0.83,1
caso_9.feature,exec_1,0.81,2
caso_9.feature,exec_2,0.79,3
caso_9.feature,exec_4,0.76,4
caso_9.feature,exec_5,0.73,5
caso_10.feature,exec_2,0.86,1
caso_10.feature,exec_5,0.86,2
caso_10.feature,exec_3,0.82,3
caso_10.feature,exec_1,0.79,4
caso_10.feature,exec_4,0.76,5
