Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_2,0.77,1
caso_1.feature,exec_1,0.72,2
caso_1.feature,exec_3,0.71,3
caso_1.feature,exec_4,0.68,4
caso_1.feature,exec_5,0.68,5
caso_2.feature,exec_2,0.65,1
caso_2.feature,exec_5,0.65,2
caso_2.feature,exec_1,0.63,3
caso_2.feature,exec_3,0.63,4
caso_2.feature,exec_4,0.63,5
caso_3.feature,exec_1,0.91,1
caso_3.feature,exec_4,0.9,2
caso_3.feature,exec_3,0.89,3
caso_3.feature,exec_5,0.89,4
caso_3.feature,exec_2,0.87,5
caso_4.feature,exec_2,0.85,1
caso_4.feature,exec_4,0.85,2
caso_4.feature,exec_3,0.83,3
caso_4.feature,exec_1,0.79,4
caso_4.feature,exec_5,0.78,5
caso_5.feature,exec_2,0.67,1
caso_5.feature,exec_1,0.66,2
caso_5.feature,exec_4,0.66,3
caso_5.feature,exec_5,0.65,4
caso_5.feature,exec_3,0.6,5
caso_6.feature,exec_1,0.81,1
caso_6.feature,exec_3,0.81,2
caso_6.feature,exec_4,0.81,3
caso_6.feature,exec_5,0.81,4
caso_6.feature,exec_2,0.68,5
caso_7.feature,exec_1,0.89,1
caso_7.feature,exec_3,0.89,2
caso_7.feature,exec_4,0.89,3
caso_7.feature,exec_2,0.88,4
caso_7.feature,exec_5,0.82,5
caso_8.feature,exec_3,0.7,1
caso_8.feature,exec_4,0.7,2
caso_8.feature,exec_2,0.65,3
caso_8.feature,exec_1,0.63,4
caso_8.feature,exec_5,0.61,5
caso_9.feature,exec_2,0.74,1
caso_9.feature,exec_5,0.73,2
caso_9.feature,exec_1,0.72,3
caso_9.feature,exec_3,0.72,4
caso_9.feature,exec_4,0.71,5
caso_10.feature,exec_5,0.79,1
caso_10.feature,exec_4,0.7,2
caso_10.feature,exec_2,0.69,3
caso_10.feature,exec_1,0.62,4
caso_10.feature,exec_3,0.58,5
