Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_2,0.8,1
caso_1.feature,exec_3,0.8,2
caso_1.feature,exec_4,0.8,3
caso_1.feature,exec_5,0.68,4
caso_1.feature,exec_1,0.66,5
caso_2.feature,exec_3,0.78,1
caso_2.feature,exec_5,0.69,2
caso_2.feature,exec_1,0.68,3
caso_2.feature,exec_4,0.61,4
caso_2.feature,exec_2,0.59,5
caso_3.feature,exec_3,0.82,1
caso_3.feature,exec_1,0.81,2
caso_3.feature,exec_4,0.8,3
caso_3.feature,exec_2,0.79,4
caso_3.feature,exec_5,0.79,5
caso_4.feature,exec_3,0.82,1
caso_4.feature,exec_2,0.81,2
caso_4.feature,exec_5,0.8,3
caso_4.feature,exec_4,0.79,4
caso_4.feature,exec_1,0.77,5
caso_5.feature,exec_5,0.72,1
caso_5.feature,exec_1,0.67,2
caso_5.feature,exec_3,0.63,3
caso_5.feature,exec_4,0.56,4
caso_5.feature,exec_2,0.52,5
caso_6.feature,exec_1,0.75,1
caso_6.feature,exec_4,0.75,2
caso_6.feature,exec_3,0.63,3
caso_6.feature,exec_5,0.56,4
caso_6.feature,exec_2,0.54,5
caso_7.feature,exec_1,0.86,1
caso_7.feature,exec_3,0.85,2
caso_7.feature,exec_2,0.83,3
caso_7.feature,exec_4,0.82,4
caso_7.feature,exec_5,0.81,5
caso_8.feature,exec_5,0.76,1
caso_8.feature,exec_4,0.75,2
caso_8.feature,exec_3,0.71,3
caso_8.feature,exec_1,0.69,4
caso_8.feature,exec_2,0.62,5
caso_9.feature,exec_5,0.69,1
caso_9.feature,exec_2,0.67,2
caso_9.feature,exec_4,0.66,3
caso_9.feature,exec_1,0.61,4
caso_9.feature,exec_3,0.61,5
caso_10.feature,exec_3,0.72,1
caso_10.feature,exec_1,0.62,2
caso_10.feature,exec_2,0.62,3
caso_10.feature,exec_4,0.58,4
caso_10.feature,exec_5,0.54,5
