Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_2,0.75,1
caso_1.feature,exec_4,0.68,2
caso_1.feature,exec_5,0.65,3
caso_1.feature,exec_3,0.64,4
caso_1.feature,exec_1,0.62,5
caso_2.feature,exec_4,0.84,1
caso_2.feature,exec_2,0.82,2
caso_2.feature,exec_5,0.75,3
caso_2.feature,exec_1,0.72,4
caso_2.feature,exec_3,0.72,5
caso_3.feature,exec_4,0.84,1
caso_3.feature,exec_2,0.83,2
caso_3.feature,exec_3,0.83,3
caso_3.feature,exec_5,0.83,4
caso_3.feature,exec_1,0.8,5
caso_4.feature,exec_3,0.81,1
caso_4.feature,exec_1,0.79,2
caso_4.feature,exec_4,0.78,3
caso_4.feature,exec_5,0.77,4
caso_4.feature,exec_2,0.73,5
caso_5.feature,exec_3,0.7,1
caso_5.feature,exec_4,0.7,2
caso_5.feature,exec_1,0.68,3
caso_5.feature,exec_5,0.68,4
caso_5.feature,exec_2,0.67,5
caso_6.feature,exec_2,0.71,1
caso_6.feature,exec_1,0.65,2
caso_6.feature,exec_3,0.65,3
caso_6.feature,exec_5,0.65,4
caso_6.feature,exec_4,0.64,5
caso_7.feature,exec_1,0.83,1
caso_7.feature,exec_3,0.83,2
caso_7.feature,exec_4,0.83,3
caso_7.feature,exec_5,0.83,4
caso_7.feature,exec_2,0.81,5
caso_8.feature,exec_5,0.69,1
caso_8.feature,exec_3,0.67,2
caso_8.feature,exec_2,0.6,3
caso_8.feature,exec_4,0.6,4
caso_8.feature,exec_1,0.58,5
caso_9.feature,exec_2,0.79,1
caso_9.feature,exec_3,0.79,2
caso_9.feature,exec_1,0.78,3
caso_9.feature,exec_4,0.78,4
caso_9.feature,exec_5,0.78,5
caso_10.feature,exec_1,0.65,1
caso_10.feature,exec_2,0.65,2
caso_10.feature,exec_3,0.65,3
caso_10.feature,exec_4,0.65,4
caso_10.feature,exec_5,0.61,5
