Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_5,0.81,1
caso_1.feature,exec_1,0.74,2
caso_1.feature,exec_4,0.74,3
caso_1.feature,exec_2,0.68,4
caso_1.feature,exec_3,0.49,5
caso_2.feature,exec_2,0.82,1
caso_2.feature,exec_3,0.78,2
caso_2.feature,exec_4,0.77,3
caso_2.feature,exec_5,0.76,4
caso_2.feature,exec_1,0.75,5
caso_3.feature,exec_3,0.85,1
caso_3.feature,exec_2,0.81,2
caso_3.feature,exec_4,0.81,3
caso_3.feature,exec_5,0.81,4
caso_3.feature,exec_1,0.79,5
caso_4.feature,exec_3,0.84,1
caso_4.feature,exec_2,0.77,2
caso_4.feature,exec_1,0.74,3
caso_4.feature,exec_5,0.72,4
caso_4.feature,exec_4,0.7,5
caso_5.feature,exec_3,0.76,1
caso_5.feature,exec_5,0.73,2
caso_5.feature,exec_1,0.72,3
caso_5.feature,exec_2,0.59,4
caso_5.feature,exec_4,0.57,5
caso_6.feature,exec_2,0.81,1
caso_6.feature,exec_3,0.8,2
caso_6.feature,exec_1,0.76,3
caso_6.feature,exec_4,0.74,4
caso_6.feature,exec_5,0.63,5
caso_7.feature,exec_1,0.86,1
caso_7.feature,exec_5,0.86,2
caso_7.feature,exec_4,0.84,3
caso_7.feature,exec_2,0.7,4
caso_7.feature,exec_3,0.69,5
caso_8.feature,exec_4,0.83,1
caso_8.feature,exec_5,0.7,2
caso_8.feature,exec_2,0.64,3
caso_8.feature,exec_1,0.6,4
caso_8.feature,exec_3,0.52,5
caso_9.feature,exec_1,0.78,1
caso_9.feature,exec_4,0.73,2
caso_9.feature,exec_2,0.69,3
caso_9.feature,exec_5,0.67,4
caso_9.feature,exec_3,0.65,5
caso_10.feature,exec_4,0.82,1
caso_10.feature,exec_5,0.72,2
caso_10.feature,exec_2,0.7,3
caso_10.feature,exec_1,0.63,4
caso_10.feature,exec_3,0.51,5
