Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_1,0.71,1
caso_1.feature,exec_5,0.71,2
caso_1.feature,exec_3,0.64,3
caso_1.feature,exec_4,0.63,4
caso_1.feature,exec_2,0.62,5
caso_2.feature,exec_1,0.72,1
caso_2.feature,exec_2,0.72,2
caso_2.feature,exec_3,0.72,3
caso_2.feature,exec_4,0.72,4
caso_2.feature,exec_5,0.72,5
caso_3.feature,exec_1,0.85,1
caso_3.feature,exec_2,0.85,2
caso_3.feature,exec_3,0.85,3
caso_3.feature,exec_4,0.85,4
caso_3.feature,exec_5,0.85,5
caso_4.feature,exec_1,0.8,1
caso_4.feature,exec_4,0.8,2
caso_4.feature,exec_5,0.8,3
caso_4.feature,exec_2,0.78,4
caso_4.feature,exec_3,0.78,5
caso_5.feature,exec_1,0.73,1
caso_5.feature,exec_2,0.72,2
caso_5.feature,exec_3,0.72,3
caso_5.feature,exec_5,0.72,4
caso_5.feature,exec_4,0.69,5
caso_6.feature,exec_2,0.67,1
caso_6.feature,exec_4,0.65,2
caso_6.feature,exec_5,0.65,3
caso_6.feature,exec_1,0.64,4
caso_6.feature,exec_3,0.51,5
caso_7.feature,exec_1,0.85,1
caso_7.feature,exec_2,0.85,2
caso_7.feature,exec_3,0.85,3
caso_7.feature,exec_4,0.85,4
caso_7.feature,exec_5,0.85,5
caso_8.feature,exec_1,0.51,1
caso_8.feature,exec_5,0.51,2
caso_8.feature,exec_3,0.5,3
caso_8.feature,exec_4,0.49,4
caso_8.feature,exec_2,0.48,5
caso_9.feature,exec_2,0.71,1
caso_9.feature,exec_5,0.71,2
caso_9.feature,exec_1,0.64,3
caso_9.feature,exec_3,0.64,4
caso_9.feature,exec_4,0.64,5
caso_10.feature,exec_3,0.71,1
caso_10.feature,exec_2,0.66,2
caso_10.feature,exec_1,0.61,3
caso_10.feature,exec_4,0.61,4
caso_10.feature,exec_5,0.61,5
