Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_1,0.86,1
caso_1.feature,exec_2,0.86,2
caso_1.feature,exec_3,0.86,3
caso_1.feature,exec_4,0.86,4
caso_1.feature,exec_5,0.86,5
caso_2.feature,exec_1,0.92,1
caso_2.feature,exec_2,0.92,2
caso_2.feature,exec_3,0.92,3
caso_2.feature,exec_4,0.92,4
caso_2.feature,exec_5,0.92,5
caso_3.feature,exec_2,0.93,1
caso_3.feature,exec_3,0.93,2
caso_3.feature,exec_4,0.93,3
caso_3.feature,exec_5,0.93,4
caso_3.feature,exec_1,0.92,5
caso_4.feature,exec_1,0.84,1
caso_4.feature,exec_2,0.84,2
caso_4.feature,exec_3,0.84,3
caso_4.feature,exec_4,0.84,4
caso_4.feature,exec_5,0.84,5
caso_5.feature,exec_1,0.71,1
caso_5.feature,exec_2,0.71,2
caso_5.feature,exec_3,0.71,3
caso_5.feature,exec_4,0.71,4
caso_5.feature,exec_5,0.71,5
caso_6.feature,exec_1,0.75,1
caso_6.feature,exec_2,0.75,2
caso_6.feature,exec_3,0.75,3
caso_6.feature,exec_4,0.75,4
caso_6.feature,exec_5,0.75,5
caso_7.feature,exec_4,0.8,1
caso_7.feature,exec_5,0.8,2
caso_7.feature,exec_1,0.79,3
caso_7.feature,exec_2,0.79,4
caso_7.feature,exec_3,0.79,5
caso_8.feature,exec_1,0.81,1
caso_8.feature,exec_2,0.81,2
caso_8.feature,exec_3,0.81,3
caso_8.feature,exec_4,0.81,4
caso_8.feature,exec_5,0.81,5
caso_9.feature,exec_1,0.83,1
caso_9.feature,exec_3,0.83,2
caso_9.feature,exec_4,0.83,3
caso_9.feature,exec_5,0.83,4
caso_9.feature,exec_2,0.81,5
caso_10.feature,exec_1,0.94,1
caso_10.feature,exec_2,0.94,2
caso_10.feature,exec_3,0.94,3
caso_10.feature,exec_4,0.94,4
caso_10.feature,exec_5,0.94,5
