Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_3,0.77,1
caso_1.feature,exec_5,0.76,2
caso_1.feature,exec_1,0.75,3
caso_1.feature,exec_2,0.75,4
caso_1.feature,exec_4,0.73,5
caso_2.feature,exec_1,0.91,1
caso_2.feature,exec_4,0.89,2
caso_2.feature,exec_2,0.87,3
caso_2.feature,exec_3,0.82,4
caso_2.feature,exec_5,0.69,5
caso_3.feature,exec_1,0.89,1
caso_3.feature,exec_3,0.89,2
caso_3.feature,exec_5,0.89,3
caso_3.feature,exec_2,0.85,4
caso_3.feature,exec_4,0.81,5
caso_4.feature,exec_2,0.86,1
caso_4.feature,exec_1,0.84,2
caso_4.feature,exec_5,0.84,3
caso_4.feature,exec_4,0.82,4
caso_4.feature,exec_3,0.76,5
caso_5.feature,exec_2,0.7,1
caso_5.feature,exec_4,0.63,2
caso_5.feature,exec_5,0.62,3
caso_5.feature,exec_1,0.59,4
caso_5.feature,exec_3,0.59,5
caso_6.feature,exec_1,0.85,1
caso_6.feature,exec_5,0.81,2
caso_6.feature,exec_4,0.71,3
caso_6.feature,exec_3,0.66,4
caso_6.feature,exec_2,0.54,5
caso_7.feature,exec_2,0.88,1
caso_7.feature,exec_5,0.87,2
caso_7.feature,exec_4,0.85,3
caso_7.feature,exec_1,0.84,4
caso_7.feature,exec_3,0.83,5
caso_8.feature,exec_2,0.68,1
caso_8.feature,exec_4,0.68,2
caso_8.feature,exec_1,0.65,3
caso_8.feature,exec_5,0.62,4
caso_8.feature,exec_3,0.6,5
caso_9.feature,exec_1,0.79,1
caso_9.feature,exec_4,0.73,2
caso_9.feature,exec_2,0.72,3
caso_9.feature,exec_3,0.7,4
caso_9.feature,exec_5,0.7,5
caso_10.feature,exec_3,0.74,1
caso_10.feature,exec_4,0.7,2
caso_10.feature,exec_1,0.65,3
caso_10.feature,exec_5,0.65,4
caso_10.feature,exec_2,0.59,5
