Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_2,0.8,1
caso_1.feature,exec_1,0.79,2
caso_1.feature,exec_3,0.78,3
caso_1.feature,exec_5,0.77,4
caso_1.feature,exec_4,0.71,5
caso_2.feature,exec_2,0.92,1
caso_2.feature,exec_5,0.92,2
caso_2.feature,exec_1,0.83,3
caso_2.feature,exec_4,0.7,4
caso_2.feature,exec_3,0.68,5
caso_3.feature,exec_2,0.86,1
caso_3.feature,exec_1,0.83,2
caso_3.feature,exec_4,0.79,3
caso_3.feature,exec_3,0.76,4
caso_3.feature,exec_5,0.75,5
caso_4.feature,exec_2,0.86,1
caso_4.feature,exec_3,0.8,2
caso_4.feature,exec_4,0.8,3
caso_4.feature,exec_5,0.8,4
caso_4.feature,exec_1,0.78,5
caso_5.feature,exec_3,0.69,1
caso_5.feature,exec_2,0.6,2
caso_5.feature,exec_5,0.6,3
caso_5.feature,exec_1,0.55,4
caso_5.feature,exec_4,0.52,5
caso_6.feature,exec_3,0.83,1
caso_6.feature,exec_5,0.81,2
caso_6.feature,exec_1,0.74,3
caso_6.feature,exec_4,0.74,4
caso_6.feature,exec_2,0.72,5
caso_7.feature,exec_1,0.82,1
caso_7.feature,exec_4,0.8,2
caso_7.feature,exec_5,0.8,3
caso_7.feature,exec_3,0.76,4
caso_7.feature,exec_2,0.75,5
caso_8.feature,exec_5,0.9,1
caso_8.feature,exec_3,0.8,2
caso_8.feature,exec_4,0.77,3
caso_8.feature,exec_2,0.67,4
caso_8.feature,exec_1,0.62,5
caso_9.feature,exec_2,0.75,1
caso_9.feature,exec_3,0.73,2
caso_9.feature,exec_1,0.71,3
caso_9.feature,exec_5,0.71,4
caso_9.feature,exec_4,0.66,5
caso_10.feature,exec_4,0.79,1
caso_10.feature,exec_1,0.78,2
caso_10.feature,exec_3,0.78,3
caso_10.feature,exec_2,0.7,4
caso_10.feature,exec_5,0.6,5
