Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_3,0.8,1
caso_1.feature,exec_4,0.78,2
caso_1.feature,exec_1,0.77,3
caso_1.feature,exec_2,0.7,4
caso_1.feature,exec_5,0.7,5
caso_2.feature,exec_4,0.86,1
caso_2.feature,exec_1,0.83,2
caso_2.feature,exec_2,0.8,3
caso_2.feature,exec_3,0.8,4
caso_2.feature,exec_5,0.76,5
caso_3.feature,exec_3,0.8,1
caso_3.feature,exec_1,0.78,2
caso_3.feature,exec_2,0.78,3
caso_3.feature,exec_4,0.78,4
caso_3.feature,exec_5,0.78,5
caso_4.feature,exec_2,0.89,1
caso_4.feature,exec_4,0.89,2
caso_4.feature,exec_5,0.83,3
caso_4.feature,exec_3,0.8,4
caso_4.feature,exec_1,0.77,5
caso_5.feature,exec_5,0.71,1
caso_5.feature,exec_2,0.66,2
caso_5.feature,exec_4,0.63,3
caso_5.feature,exec_3,0.62,4
caso_5.feature,exec_1,0.61,5
caso_6.feature,exec_5,0.84,1
caso_6.feature,exec_1,0.83,2
caso_6.feature,exec_4,0.82,3
caso_6.feature,exec_3,0.81,4
caso_6.feature,exec_2,0.8,5
caso_7.feature,exec_1,0.82,1
caso_7.feature,exec_3,0.82,2
caso_7.feature,exec_4,0.82,3
caso_7.feature,exec_2,0.81,4
caso_7.feature,exec_5,0.79,5
caso_8.feature,exec_1,0.87,1
caso_8.feature,exec_5,0.67,2
caso_8.feature,exec_2,0.66,3
caso_8.feature,exec_3,0.64,4
caso_8.feature,exec_4,0.64,5
caso_9.feature,exec_1,0.85,1
caso_9.feature,exec_2,0.83,2
caso_9.feature,exec_3,0.81,3
caso_9.feature,exec_5,0.79,4
caso_9.feature,exec_4,0.72,5
caso_10.feature,exec_2,0.69,1
caso_10.feature,exec_5,0.69,2
caso_10.feature,exec_1,0.68,3
caso_10.feature,exec_3,0.68,4
caso_10.feature,exec_4,0.68,5
