Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_5,0.84,1
caso_1.feature,exec_2,0.81,2
caso_1.feature,exec_3,0.8,3
caso_1.feature,exec_4,0.8,4
caso_1.feature,exec_1,0.76,5
caso_2.feature,exec_5,0.87,1
caso_2.feature,exec_1,0.86,2
caso_2.feature,exec_4,0.86,3
caso_2.feature,exec_3,0.81,4
caso_2.feature,exec_2,0.68,5
caso_3.feature,exec_1,0.83,1
caso_3.feature,exec_5,0.79,2
caso_3.feature,exec_3,0.77,3
caso_3.feature,exec_2,0.7,4
caso_3.feature,exec_4,0.65,5
caso_4.feature,exec_3,0.9,1
caso_4.feature,exec_1,0.84,2
caso_4.feature,exec_2,0.81,3
caso_4.feature,exec_5,0.8,4
caso_4.feature,exec_4,0.73,5
caso_5.feature,exec_2,0.85,1
caso_5.feature,exec_1,0.84,2
caso_5.feature,exec_3,0.7,3
caso_5.feature,exec_4,0.68,4
caso_5.feature,exec_5,0.67,5
caso_6.feature,exec_2,0.92,1
caso_6.feature,exec_1,0.86,2
caso_6.feature,exec_5,0.83,3
caso_6.feature,exec_3,0.75,4
caso_6.feature,exec_4,0.68,5
caso_7.feature,exec_1,0.79,1
caso_7.feature,exec_2,0.79,2
caso_7.feature,exec_5,0.79,3
caso_7.feature,exec_3,0.75,4
caso_7.feature,exec_4,0.66,5
caso_8.feature,exec_3,0.76,1
caso_8.feature,exec_5,0.74,2
caso_8.feature,exec_1,0.71,3
caso_8.feature,exec_2,0.71,4
caso_8.feature,exec_4,0.62,5
caso_9.feature,exec_5,0.77,1
caso_9.feature,exec_4,0.76,2
caso_9.feature,exec_2,0.75,3
caso_9.feature,exec_1,0.73,4
caso_9.feature,exec_3,0.72,5
caso_10.feature,exec_1,0.83,1
caso_10.feature,exec_2,0.81,2
caso_10.feature,exec_5,0.77,3
caso_10.feature,exec_4,0.71,4
caso_10.feature,exec_3,0.3,5
