Caso Base,Execução Comparada,Pontuação METEOR,Ranking
caso_1.feature,exec_3,0.73,1
caso_1.feature,exec_4,0.73,2
caso_1.feature,exec_5,0.72,3
caso_1.feature,exec_1,0.71,4
caso_1.feature,exec_2,0.68,5
caso_2.feature,exec_1,0.74,1
caso_2.feature,exec_2,0.74,2
caso_2.feature,exec_3,0.74,3
caso_2.feature,exec_4,0.74,4
caso_2.feature,exec_5,0.74,5
caso_3.feature,exec_1,0.89,1
caso_3.feature,exec_2,0.88,2
caso_3.feature,exec_3,0.88,3
caso_3.feature,exec_5,0.87,4
caso_3.feature,exec_4,0.84,5
caso_4.feature,exec_1,0.89,1
caso_4.feature,exec_3,0.89,2
caso_4.feature,exec_4,0.89,3
caso_4.feature,exec_5,0.89,4
caso_4.feature,exec_2,0.85,5
caso_5.feature,exec_4,0.86,1
caso_5.feature,exec_1,0.76,2
caso_5.feature,exec_2,0.76,3
caso_5.feature,exec_3,0.76,4
caso_5.feature,exec_5,0.74,5
caso_6.feature,exec_5,0.58,1
caso_6.feature,exec_1,0.51,2
caso_6.feature,exec_2,0.51,3
caso_6.feature,exec_3,0.51,4
caso_6.feature,exec_4,0.51,5
caso_7.feature,exec_1,0.89,1
caso_7.feature,exec_3,0.89,2
caso_7.feature,exec_5,0.89,3
caso_7.feature,exec_2,0.88,4
caso_7.feature,exec_4,0.85,5
caso_8.feature,exec_4,0.77,1
caso_8.feature,exec_2,0.76,2
caso_8.feature,exec_3,0.76,3
caso_8.feature,exec_1,0.71,4
caso_8.feature,exec_5,0.71,5
caso_9.feature,exec_5,0.76,1
caso_9.feature,exec_1,0.75,2
caso_9.feature,exec_4,0.75,3
caso_9.feature,exec_2,0.74,4
caso_9.feature,exec_3,0.74,5
caso_10.feature,exec_3,0.74,1
caso_10.feature,exec_5,0.74,2
caso_10.feature,exec_2,0.71,3
caso_10.feature,exec_4,0.7,4
caso_10.feature,exec_1,0.69,5
