Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_4,41,1
caso_1.feature,exec_5,41,2
caso_1.feature,exec_1,42,3
caso_1.feature,exec_3,45,4
caso_1.feature,exec_2,46,5
caso_2.feature,exec_4,34,1
caso_2.feature,exec_1,35,2
caso_2.feature,exec_5,38,3
caso_2.feature,exec_2,39,4
caso_2.feature,exec_3,44,5
caso_3.feature,exec_4,26,1
caso_3.feature,exec_1,28,2
caso_3.feature,exec_2,28,3
caso_3.feature,exec_3,31,4
caso_3.feature,exec_5,33,5
caso_4.feature,exec_2,39,1
caso_4.feature,exec_1,42,2
caso_4.feature,exec_5,42,3
caso_4.feature,exec_4,44,4
caso_4.feature,exec_3,45,5
caso_5.feature,exec_3,35,1
caso_5.feature,exec_1,37,2
caso_5.feature,exec_2,38,3
caso_5.feature,exec_5,41,4
caso_5.feature,exec_4,45,5
caso_6.feature,exec_4,37,1
caso_6.feature,exec_3,38,2
caso_6.feature,exec_1,39,3
caso_6.feature,exec_5,43,4
caso_6.feature,exec_2,45,5
caso_7.feature,exec_1,20,1
caso_7.feature,exec_3,22,2
caso_7.feature,exec_4,26,3
caso_7.feature,exec_2,31,4
caso_7.feature,exec_5,35,5
caso_8.feature,exec_2,33,1
caso_8.feature,exec_4,34,2
caso_8.feature,exec_3,37,3
caso_8.feature,exec_1,48,4
caso_8.feature,exec_5,48,5
caso_9.feature,exec_4,45,1
caso_9.feature,exec_1,48,2
caso_9.feature,exec_2,48,3
caso_9.feature,exec_5,52,4
caso_9.feature,exec_3,56,5
caso_10.feature,exec_2,24,1
caso_10.feature,exec_3,35,2
caso_10.feature,exec_1,37,3
caso_10.feature,exec_4,39,4
caso_10.feature,exec_5,45,5
