Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_1,45,1
caso_1.feature,exec_2,45,2
caso_1.feature,exec_3,45,3
caso_1.feature,exec_4,45,4
caso_1.feature,exec_5,45,5
caso_2.feature,exec_4,31,1
caso_2.feature,exec_5,34,2
caso_2.feature,exec_1,40,3
caso_2.feature,exec_3,44,4
caso_2.feature,exec_2,47,5
caso_3.feature,exec_1,21,1
caso_3.feature,exec_3,25,2
caso_3.feature,exec_5,26,3
caso_3.feature,exec_2,33,4
caso_3.feature,exec_4,41,5
caso_4.feature,exec_5,28,1
caso_4.feature,exec_3,30,2
caso_4.feature,exec_4,30,3
caso_4.feature,exec_1,32,4
caso_4.feature,exec_2,35,5
caso_5.feature,exec_4,33,1
caso_5.feature,exec_5,33,2
caso_5.feature,exec_2,37,3
caso_5.feature,exec_3,39,4
caso_5.feature,exec_1,42,5
caso_6.feature,exec_5,33,1
caso_6.feature,exec_3,37,2
caso_6.feature,exec_2,39,3
caso_6.feature,exec_4,39,4
caso_6.feature,exec_1,40,5
caso_7.feature,exec_2,27,1
caso_7.feature,exec_3,28,2
caso_7.feature,exec_4,28,3
caso_7.feature,exec_5,29,4
caso_7.feature,exec_1,35,5
caso_8.feature,exec_3,29,1
caso_8.feature,exec_1,32,2
caso_8.feature,exec_2,36,3
caso_8.feature,exec_5,38,4
caso_8.feature,exec_4,39,5
caso_9.feature,exec_4,23,1
caso_9.feature,exec_1,36,2
caso_9.feature,exec_5,38,3
caso_9.feature,exec_2,40,4
caso_9.feature,exec_3,40,5
caso_10.feature,exec_5,28,1
caso_10.feature,exec_3,29,2
caso_10.feature,exec_1,31,3
caso_10.feature,exec_4,35,4
caso_10.feature,exec_2,37,5
