Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_4,44,1
caso_1.feature,exec_1,45,2
caso_1.feature,exec_2,50,3
caso_1.feature,exec_3,50,4
caso_1.feature,exec_5,52,5
caso_2.feature,exec_1,28,1
caso_2.feature,exec_5,28,2
caso_2.feature,exec_2,30,3
caso_2.feature,exec_3,30,4
caso_2.feature,exec_4,32,5
caso_3.feature,exec_3,23,1
caso_3.feature,exec_4,23,2
caso_3.feature,exec_5,23,3
caso_3.feature,exec_2,28,4
caso_3.feature,exec_1,30,5
caso_4.feature,exec_1,35,1
caso_4.feature,exec_4,35,2
caso_4.feature,exec_2,39,3
caso_4.feature,exec_3,39,4
caso_4.feature,exec_5,46,5
caso_5.feature,exec_2,40,1
caso_5.feature,exec_4,40,2
caso_5.feature,exec_5,40,3
caso_5.feature,exec_1,42,4
caso_5.feature,exec_3,50,5
caso_6.feature,exec_4,35,1
caso_6.feature,exec_5,36,2
caso_6.feature,exec_3,41,3
caso_6.feature,exec_1,42,4
caso_6.feature,exec_2,42,5
caso_7.feature,exec_1,23,1
caso_7.feature,exec_2,23,2
caso_7.feature,exec_3,23,3
caso_7.feature,exec_4,23,4
caso_7.feature,exec_5,23,5
caso_8.feature,exec_1,45,1
caso_8.feature,exec_2,45,2
caso_8.feature,exec_3,45,3
caso_8.feature,exec_4,45,4
caso_8.feature,exec_5,48,5
caso_9.feature,exec_1,35,1
caso_9.feature,exec_2,38,2
caso_9.feature,exec_3,38,3
caso_9.feature,exec_5,38,4
caso_9.feature,exec_4,40,5
caso_10.feature,exec_4,26,1
caso_10.feature,exec_5,26,2
caso_10.feature,exec_3,28,3
caso_10.feature,exec_1,29,4
caso_10.feature,exec_2,31,5
