Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,47,1
caso_1.feature,exec_4,47,2
caso_1.feature,exec_5,50,3
caso_1.feature,exec_1,52,4
caso_1.feature,exec_2,54,5
caso_2.feature,exec_5,31,1
caso_2.feature,exec_1,32,2
caso_2.feature,exec_4,33,3
caso_2.feature,exec_3,40,4
caso_2.feature,exec_2,50,5
caso_3.feature,exec_1,22,1
caso_3.feature,exec_4,26,2
caso_3.feature,exec_3,27,3
caso_3.feature,exec_5,27,4
caso_3.feature,exec_2,30,5
caso_4.feature,exec_3,35,1
caso_4.feature,exec_5,35,2
caso_4.feature,exec_1,36,3
caso_4.feature,exec_4,37,4
caso_4.feature,exec_2,38,5
caso_5.feature,exec_2,33,1
caso_5.feature,exec_3,37,2
caso_5.feature,exec_4,37,3
caso_5.feature,exec_1,39,4
caso_5.feature,exec_5,40,5
caso_6.feature,exec_1,38,1
caso_6.feature,exec_5,39,2
caso_6.feature,exec_4,40,3
caso_6.feature,exec_3,43,4
caso_6.feature,exec_2,48,5
caso_7.feature,exec_5,26,1
caso_7.feature,exec_1,28,2
caso_7.feature,exec_3,28,3
caso_7.feature,exec_4,28,4
caso_7.feature,exec_2,30,5
caso_8.feature,exec_2,44,1
caso_8.feature,exec_3,44,2
caso_8.feature,exec_5,45,3
caso_8.feature,exec_4,49,4
caso_8.feature,exec_1,50,5
caso_9.feature,exec_4,39,1
caso_9.feature,exec_5,41,2
caso_9.feature,exec_3,42,3
caso_9.feature,exec_1,43,4
caso_9.feature,exec_2,43,5
caso_10.feature,exec_4,30,1
caso_10.feature,exec_1,35,2
caso_10.feature,exec_5,36,3
caso_10.feature,exec_2,41,4
caso_10.feature,exec_3,43,5
