Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_2,48,1
caso_1.feature,exec_1,50,2
caso_1.feature,exec_4,50,3
caso_1.feature,exec_5,51,4
caso_1.feature,exec_3,56,5
caso_2.feature,exec_3,35,1
caso_2.feature,exec_2,39,2
caso_2.feature,exec_1,40,3
caso_2.feature,exec_4,40,4
caso_2.feature,exec_5,41,5
caso_3.feature,exec_3,33,1
caso_3.feature,exec_2,34,2
caso_3.feature,exec_4,34,3
caso_3.feature,exec_5,35,4
caso_3.feature,exec_1,36,5
caso_4.feature,exec_2,33,1
caso_4.feature,exec_4,41,2
caso_4.feature,exec_3,43,3
caso_4.feature,exec_1,47,4
caso_4.feature,exec_5,49,5
caso_5.feature,exec_1,31,1
caso_5.feature,exec_3,33,2
caso_5.feature,exec_2,37,3
caso_5.feature,exec_4,37,4
caso_5.feature,exec_5,41,5
caso_6.feature,exec_5,30,1
caso_6.feature,exec_1,33,2
caso_6.feature,exec_3,37,3
caso_6.feature,exec_2,39,4
caso_6.feature,exec_4,46,5
caso_7.feature,exec_4,27,1
caso_7.feature,exec_1,33,2
caso_7.feature,exec_3,33,3
caso_7.feature,exec_2,35,4
caso_7.feature,exec_5,35,5
caso_8.feature,exec_1,38,1
caso_8.feature,exec_2,38,2
caso_8.feature,exec_4,44,3
caso_8.feature,exec_5,45,4
caso_8.feature,exec_3,51,5
caso_9.feature,exec_5,47,1
caso_9.feature,exec_4,51,2
caso_9.feature,exec_3,54,3
caso_9.feature,exec_1,55,4
caso_9.feature,exec_2,60,5
caso_10.feature,exec_2,27,1
caso_10.feature,exec_4,30,2
caso_10.feature,exec_5,30,3
caso_10.feature,exec_1,34,4
caso_10.feature,exec_3,36,5
