Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_5,42,1
caso_1.feature,exec_1,44,2
caso_1.feature,exec_2,48,3
caso_1.feature,exec_3,48,4
caso_1.feature,exec_4,55,5
caso_2.feature,exec_2,29,1
caso_2.feature,exec_5,30,2
caso_2.feature,exec_3,32,3
caso_2.feature,exec_4,37,4
caso_2.feature,exec_1,44,5
caso_3.feature,exec_1,21,1
caso_3.feature,exec_2,22,2
caso_3.feature,exec_5,28,3
caso_3.feature,exec_4,29,4
caso_3.feature,exec_3,30,5
caso_4.feature,exec_1,40,1
caso_4.feature,exec_2,42,2
caso_4.feature,exec_4,42,3
caso_4.feature,exec_5,42,4
caso_4.feature,exec_3,47,5
caso_5.feature,exec_3,39,1
caso_5.feature,exec_4,41,2
caso_5.feature,exec_2,44,3
caso_5.feature,exec_5,45,4
caso_5.feature,exec_1,46,5
caso_6.feature,exec_4,31,1
caso_6.feature,exec_5,38,2
caso_6.feature,exec_2,39,3
caso_6.feature,exec_3,40,4
caso_6.feature,exec_1,52,5
caso_7.feature,exec_5,29,1
caso_7.feature,exec_2,30,2
caso_7.feature,exec_4,30,3
caso_7.feature,exec_1,31,4
caso_7.feature,exec_3,37,5
caso_8.feature,exec_2,40,1
caso_8.feature,exec_5,41,2
caso_8.feature,exec_4,45,3
caso_8.feature,exec_3,47,4
caso_8.feature,exec_1,48,5
caso_9.feature,exec_4,39,1
caso_9.feature,exec_1,48,2
caso_9.feature,exec_3,49,3
caso_9.feature,exec_2,50,4
caso_9.feature,exec_5,60,5
caso_10.feature,exec_3,26,1
caso_10.feature,exec_2,29,2
caso_10.feature,exec_4,30,3
caso_10.feature,exec_1,32,4
caso_10.feature,exec_5,36,5
