Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_2,49,1
caso_1.feature,exec_4,53,2
caso_1.feature,exec_1,54,3
caso_1.feature,exec_3,55,4
caso_1.feature,exec_5,55,5
caso_2.feature,exec_2,27,1
caso_2.feature,exec_5,27,2
caso_2.feature,exec_4,29,3
caso_2.feature,exec_3,30,4
caso_2.feature,exec_1,34,5
caso_3.feature,exec_1,17,1
caso_3.feature,exec_4,22,2
caso_3.feature,exec_3,23,3
caso_3.feature,exec_5,23,4
caso_3.feature,exec_2,24,5
caso_4.feature,exec_2,31,1
caso_4.feature,exec_1,33,2
caso_4.feature,exec_3,33,3
caso_4.feature,exec_4,33,4
caso_4.feature,exec_5,35,5
caso_5.feature,exec_3,40,1
caso_5.feature,exec_2,41,2
caso_5.feature,exec_1,42,3
caso_5.feature,exec_4,42,4
caso_5.feature,exec_5,49,5
caso_6.feature,exec_1,37,1
caso_6.feature,exec_3,37,2
caso_6.feature,exec_4,37,3
caso_6.feature,exec_5,37,4
caso_6.feature,exec_2,39,5
caso_7.feature,exec_4,19,1
caso_7.feature,exec_1,23,2
caso_7.feature,exec_2,23,3
caso_7.feature,exec_3,23,4
caso_7.feature,exec_5,32,5
caso_8.feature,exec_1,43,1
caso_8.feature,exec_3,43,2
caso_8.feature,exec_4,44,3
caso_8.feature,exec_5,44,4
caso_8.feature,exec_2,46,5
caso_9.feature,exec_5,35,1
caso_9.feature,exec_4,39,2
caso_9.feature,exec_1,40,3
caso_9.feature,exec_3,40,4
caso_9.feature,exec_2,41,5
caso_10.feature,exec_4,28,1
caso_10.feature,exec_5,28,2
caso_10.feature,exec_2,32,3
caso_10.feature,exec_1,33,4
caso_10.feature,exec_3,35,5
