Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,42,1
caso_1.feature,exec_5,44,2
caso_1.feature,exec_4,45,3
caso_1.feature,exec_2,47,4
caso_1.feature,exec_1,50,5
caso_2.feature,exec_1,30,1
caso_2.feature,exec_5,30,2
caso_2.feature,exec_3,31,3
caso_2.feature,exec_4,39,4
caso_2.feature,exec_2,40,5
caso_3.feature,exec_3,24,1
caso_3.feature,exec_4,27,2
caso_3.feature,exec_5,31,3
caso_3.feature,exec_2,32,4
caso_3.feature,exec_1,35,5
caso_4.feature,exec_2,39,1
caso_4.feature,exec_4,39,2
caso_4.feature,exec_1,42,3
caso_4.feature,exec_5,42,4
caso_4.feature,exec_3,44,5
caso_5.feature,exec_1,40,1
caso_5.feature,exec_2,43,2
caso_5.feature,exec_5,44,3
caso_5.feature,exec_3,47,4
caso_5.feature,exec_4,49,5
caso_6.feature,exec_1,41,1
caso_6.feature,exec_3,42,2
caso_6.feature,exec_2,43,3
caso_6.feature,exec_4,43,4
caso_6.feature,exec_5,46,5
caso_7.feature,exec_3,25,1
caso_7.feature,exec_4,27,2
caso_7.feature,exec_5,29,3
caso_7.feature,exec_1,32,4
caso_7.feature,exec_2,36,5
caso_8.feature,exec_5,38,1
caso_8.feature,exec_4,40,2
caso_8.feature,exec_3,41,3
caso_8.feature,exec_1,42,4
caso_8.feature,exec_2,53,5
caso_9.feature,exec_5,39,1
caso_9.feature,exec_4,45,2
caso_9.feature,exec_3,46,3
caso_9.feature,exec_2,47,4
caso_9.feature,exec_1,48,5
caso_10.feature,exec_3,32,1
caso_10.feature,exec_4,38,2
caso_10.feature,exec_1,40,3
caso_10.feature,exec_5,43,4
caso_10.feature,exec_2,47,5
