Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_2,43,1
caso_1.feature,exec_3,44,2
caso_1.feature,exec_5,44,3
caso_1.feature,exec_1,46,4
caso_1.feature,exec_4,48,5
caso_2.feature,exec_4,28,1
caso_2.feature,exec_2,30,2
caso_2.feature,exec_5,31,3
caso_2.feature,exec_1,35,4
caso_2.feature,exec_3,37,5
caso_3.feature,exec_2,31,1
caso_3.feature,exec_5,31,2
caso_3.feature,exec_3,32,3
caso_3.feature,exec_4,36,4
caso_3.feature,exec_1,37,5
caso_4.feature,exec_1,41,1
caso_4.feature,exec_4,42,2
caso_4.feature,exec_3,43,3
caso_4.feature,exec_5,43,4
caso_4.feature,exec_2,49,5
caso_5.feature,exec_2,42,1
caso_5.feature,exec_3,43,2
caso_5.feature,exec_4,43,3
caso_5.feature,exec_1,45,4
caso_5.feature,exec_5,45,5
caso_6.feature,exec_2,43,1
caso_6.feature,exec_1,44,2
caso_6.feature,exec_3,44,3
caso_6.feature,exec_5,44,4
caso_6.feature,exec_4,46,5
caso_7.feature,exec_1,31,1
caso_7.feature,exec_3,31,2
caso_7.feature,exec_4,31,3
caso_7.feature,exec_5,32,4
caso_7.feature,exec_2,33,5
caso_8.feature,exec_2,40,1
caso_8.feature,exec_4,40,2
caso_8.feature,exec_5,40,3
caso_8.feature,exec_1,41,4
caso_8.feature,exec_3,42,5
caso_9.feature,exec_2,31,1
caso_9.feature,exec_3,31,2
caso_9.feature,exec_5,39,3
caso_9.feature,exec_1,42,4
caso_9.feature,exec_4,42,5
caso_10.feature,exec_1,39,1
caso_10.feature,exec_2,40,2
caso_10.feature,exec_3,40,3
caso_10.feature,exec_4,40,4
caso_10.feature,exec_5,50,5
