Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_4,43,1
caso_1.feature,exec_1,47,2
caso_1.feature,exec_5,49,3
caso_1.feature,exec_2,51,4
caso_1.feature,exec_3,59,5
caso_2.feature,exec_3,32,1
caso_2.feature,exec_4,35,2
caso_2.feature,exec_1,40,3
caso_2.feature,exec_5,40,4
caso_2.feature,exec_2,41,5
caso_3.feature,exec_3,27,1
caso_3.feature,exec_5,29,2
caso_3.feature,exec_1,30,3
caso_3.feature,exec_4,34,4
caso_3.feature,exec_2,35,5
caso_4.feature,exec_3,35,1
caso_4.feature,exec_2,36,2
caso_4.feature,exec_4,39,3
caso_4.feature,exec_1,40,4
caso_4.feature,exec_5,42,5
caso_5.feature,exec_3,31,1
caso_5.feature,exec_1,35,2
caso_5.feature,exec_4,41,3
caso_5.feature,exec_5,42,4
caso_5.feature,exec_2,44,5
caso_6.feature,exec_2,35,1
caso_6.feature,exec_4,36,2
caso_6.feature,exec_5,36,3
caso_6.feature,exec_3,38,4
caso_6.feature,exec_1,42,5
caso_7.feature,exec_1,29,1
caso_7.feature,exec_4,29,2
caso_7.feature,exec_5,30,3
caso_7.feature,exec_3,35,4
caso_7.feature,exec_2,37,5
caso_8.feature,exec_4,40,1
caso_8.feature,exec_2,44,2
caso_8.feature,exec_1,45,3
caso_8.feature,exec_5,45,4
caso_8.feature,exec_3,53,5
caso_9.feature,exec_1,49,1
caso_9.feature,exec_3,51,2
caso_9.feature,exec_4,51,3
caso_9.feature,exec_2,52,4
caso_9.feature,exec_5,57,5
caso_10.feature,exec_4,34,1
caso_10.feature,exec_1,36,2
caso_10.feature,exec_5,37,3
caso_10.feature,exec_2,38,4
caso_10.feature,exec_3,42,5
