Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_1,44,1
caso_1.feature,exec_4,44,2
caso_1.feature,exec_5,44,3
caso_1.feature,exec_2,45,4
caso_1.feature,exec_3,47,5
caso_2.feature,exec_1,41,1
caso_2.feature,exec_2,41,2
caso_2.feature,exec_3,41,3
caso_2.feature,exec_4,41,4
caso_2.feature,exec_5,41,5
caso_3.feature,exec_1,24,1
caso_3.feature,exec_2,24,2
caso_3.feature,exec_3,24,3
caso_3.feature,exec_4,24,4
caso_3.feature,exec_5,24,5
caso_4.feature,exec_1,37,1
caso_4.feature,exec_5,37,2
caso_4.feature,exec_4,38,3
caso_4.feature,exec_3,40,4
caso_4.feature,exec_2,45,5
caso_5.feature,exec_1,32,1
caso_5.feature,exec_2,38,2
caso_5.feature,exec_3,38,3
caso_5.feature,exec_5,38,4
caso_5.feature,exec_4,40,5
caso_6.feature,exec_2,35,1
caso_6.feature,exec_4,35,2
caso_6.feature,exec_5,36,3
caso_6.feature,exec_1,43,4
caso_6.feature,exec_3,43,5
caso_7.feature,exec_1,24,1
caso_7.feature,exec_2,24,2
caso_7.feature,exec_3,24,3
caso_7.feature,exec_4,24,4
caso_7.feature,exec_5,24,5
caso_8.feature,exec_3,50,1
caso_8.feature,exec_4,51,2
caso_8.feature,exec_2,52,3
caso_8.feature,exec_5,54,4
caso_8.feature,exec_1,55,5
caso_9.feature,exec_2,43,1
caso_9.feature,exec_5,43,2
caso_9.feature,exec_1,48,3
caso_9.feature,exec_3,48,4
caso_9.feature,exec_4,48,5
caso_10.feature,exec_3,36,1
caso_10.feature,exec_2,44,2
caso_10.feature,exec_1,48,3
caso_10.feature,exec_4,48,4
caso_10.feature,exec_5,48,5
