Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_2,42,1
caso_1.feature,exec_5,44,2
caso_1.feature,exec_1,45,3
caso_1.feature,exec_4,47,4
caso_1.feature,exec_3,52,5
caso_2.feature,exec_1,32,1
caso_2.feature,exec_4,32,2
caso_2.feature,exec_2,34,3
caso_2.feature,exec_3,41,4
caso_2.feature,exec_5,41,5
caso_3.feature,exec_1,21,1
caso_3.feature,exec_5,27,2
caso_3.feature,exec_2,28,3
caso_3.feature,exec_3,30,4
caso_3.feature,exec_4,32,5
caso_4.feature,exec_5,39,1
caso_4.feature,exec_3,41,2
caso_4.feature,exec_4,42,3
caso_4.feature,exec_2,47,4
caso_4.feature,exec_1,49,5
caso_5.feature,exec_2,32,1
caso_5.feature,exec_5,32,2
caso_5.feature,exec_1,36,3
caso_5.feature,exec_4,38,4
caso_5.feature,exec_3,43,5
caso_6.feature,exec_1,36,1
caso_6.feature,exec_5,36,2
caso_6.feature,exec_2,41,3
caso_6.feature,exec_3,50,4
caso_6.feature,exec_4,50,5
caso_7.feature,exec_2,27,1
caso_7.feature,exec_1,29,2
caso_7.feature,exec_4,29,3
caso_7.feature,exec_3,32,4
caso_7.feature,exec_5,32,5
caso_8.feature,exec_4,35,1
caso_8.feature,exec_3,41,2
caso_8.feature,exec_2,43,3
caso_8.feature,exec_5,46,4
caso_8.feature,exec_1,57,5
caso_9.feature,exec_3,44,1
caso_9.feature,exec_1,46,2
caso_9.feature,exec_4,48,3
caso_9.feature,exec_5,49,4
caso_9.feature,exec_2,50,5
caso_10.feature,exec_1,28,1
caso_10.feature,exec_3,28,2
caso_10.feature,exec_4,31,3
caso_10.feature,exec_2,32,4
caso_10.feature,exec_5,36,5
