Caso Base,Execução Comparada,Distância de Manhattan,Ranking
caso_1.feature,exec_3,41,1
caso_1.feature,exec_1,53,2
caso_1.feature,exec_4,53,3
caso_1.feature,exec_5,61,4
caso_1.feature,exec_2,62,5
caso_2.feature,exec_1,24,1
caso_2.feature,exec_2,24,2
caso_2.feature,exec_3,24,3
caso_2.feature,exec_4,24,4
caso_2.feature,exec_5,24,5
caso_3.feature,exec_5,21,1
caso_3.feature,exec_2,23,2
caso_3.feature,exec_3,23,3
caso_3.feature,exec_4,24,4
caso_3.feature,exec_1,25,5
caso_4.feature,exec_1,27,1
caso_4.feature,exec_3,27,2
caso_4.feature,exec_4,27,3
caso_4.feature,exec_5,27,4
caso_4.feature,exec_2,32,5
caso_5.feature,exec_4,29,1
caso_5.feature,exec_5,29,2
caso_5.feature,exec_1,35,3
caso_5.feature,exec_2,35,4
caso_5.feature,exec_3,35,5
caso_6.feature,exec_5,37,1
caso_6.feature,exec_1,44,2
caso_6.feature,exec_2,44,3
caso_6.feature,exec_3,44,4
caso_6.feature,exec_4,44,5
caso_7.feature,exec_2,23,1
caso_7.feature,exec_1,25,2
caso_7.feature,exec_3,25,3
caso_7.feature,exec_5,25,4
caso_7.feature,exec_4,26,5
caso_8.feature,exec_3,29,1
caso_8.feature,exec_4,33,2
caso_8.feature,exec_1,37,3
caso_8.feature,exec_5,41,4
caso_8.feature,exec_2,44,5
caso_9.feature,exec_1,40,1
caso_9.feature,exec_4,40,2
caso_9.feature,exec_2,41,3
caso_9.feature,exec_5,42,4
caso_9.feature,exec_3,48,5
caso_10.feature,exec_2,28,1
caso_10.feature,exec_4,29,2
caso_10.feature,exec_1,30,3
caso_10.feature,exec_5,31,4
caso_10.feature,exec_3,32,5
